country_id,regime,regime_type,year,care_index,leave_generosity,service_share,legal_access_index,formality_rate,norm_restrictiveness,mobility_cost,public_employment_share,female_lfp,female_hours,job_continuity,gender_wage_gap
C01,nordic_care_state,high_income_welfare,2005,0.8821,0.8415,0.7665,0.8666,0.8059,0.2062,0.1685,0.3353,0.7556,0.6621,0.8524,0.1253
C01,nordic_care_state,high_income_welfare,2012,0.8927,0.8540,0.8049,0.8638,0.8385,0.2171,0.1518,0.3334,0.7964,0.6784,0.8248,0.1285
C01,nordic_care_state,high_income_welfare,2019,0.9176,0.8491,0.8189,0.8714,0.8643,0.1657,0.1821,0.3390,0.7899,0.6855,0.8407,0.1172
C02,nordic_care_state,high_income_welfare,2005,0.8625,0.8450,0.7840,0.8786,0.8371,0.2014,0.1677,0.3565,0.7954,0.6481,0.8299,0.1400
C02,nordic_care_state,high_income_welfare,2012,0.8768,0.8412,0.8030,0.8647,0.8756,0.2271,0.1936,0.3390,0.7869,0.6667,0.8232,0.1290
C02,nordic_care_state,high_income_welfare,2019,0.8970,0.8340,0.8047,0.8824,0.8493,0.1696,0.1385,0.3574,0.8231,0.6750,0.8677,0.1226
C03,nordic_care_state,high_income_welfare,2005,0.8492,0.8192,0.8006,0.8699,0.8340,0.2029,0.1772,0.3535,0.7329,0.6602,0.8453,0.1363
C03,nordic_care_state,high_income_welfare,2012,0.9078,0.8257,0.7982,0.8693,0.8465,0.2055,0.1790,0.3525,0.7767,0.6841,0.8294,0.1220
C03,nordic_care_state,high_income_welfare,2019,0.9085,0.8561,0.8175,0.8986,0.8780,0.2097,0.1590,0.3499,0.7845,0.6830,0.8422,0.1177
C04,nordic_care_state,high_income_welfare,2005,0.8812,0.8591,0.7861,0.8500,0.8179,0.2250,0.1825,0.3510,0.7511,0.6705,0.8229,0.1432
C04,nordic_care_state,high_income_welfare,2012,0.8844,0.8476,0.8081,0.8581,0.8201,0.2183,0.1775,0.3373,0.7662,0.6678,0.8410,0.1380
C04,nordic_care_state,high_income_welfare,2019,0.9206,0.8435,0.8475,0.8910,0.8705,0.1755,0.1371,0.3376,0.8264,0.6849,0.8640,0.1312
C05,nordic_care_state,high_income_welfare,2005,0.8778,0.8129,0.7715,0.8614,0.8475,0.2126,0.1675,0.3436,0.7722,0.6545,0.8477,0.1287
C05,nordic_care_state,high_income_welfare,2012,0.8887,0.8490,0.8290,0.8852,0.8704,0.2153,0.1647,0.3370,0.7907,0.6893,0.8507,0.1275
C05,nordic_care_state,high_income_welfare,2019,0.8971,0.8280,0.7965,0.9039,0.8357,0.1826,0.1748,0.3420,0.7614,0.6696,0.8318,0.1144
C06,nordic_care_state,high_income_welfare,2005,0.8842,0.8600,0.7651,0.8755,0.8246,0.2316,0.1858,0.3477,0.7572,0.6594,0.8382,0.1297
C06,nordic_care_state,high_income_welfare,2012,0.8677,0.8411,0.8005,0.8659,0.8281,0.1809,0.1679,0.3350,0.7734,0.6750,0.8360,0.1388
C06,nordic_care_state,high_income_welfare,2019,0.8953,0.8566,0.8343,0.8654,0.8551,0.1955,0.1553,0.3295,0.7631,0.6860,0.8553,0.1386
C07,continental_part_time,high_income_welfare,2005,0.7325,0.7660,0.7077,0.8218,0.8099,0.2992,0.2548,0.2238,0.6760,0.6262,0.7732,0.1783
C07,continental_part_time,high_income_welfare,2012,0.7639,0.7783,0.6791,0.8389,0.7736,0.2828,0.2511,0.2495,0.6911,0.6025,0.7812,0.1641
C07,continental_part_time,high_income_welfare,2019,0.7830,0.7793,0.7237,0.8467,0.8194,0.2646,0.2190,0.2450,0.7045,0.6379,0.7772,0.1538
C08,continental_part_time,high_income_welfare,2005,0.7164,0.7499,0.6855,0.8234,0.8032,0.3172,0.2398,0.2242,0.6321,0.6131,0.7568,0.1726
C08,continental_part_time,high_income_welfare,2012,0.7653,0.7913,0.6844,0.8353,0.8139,0.2838,0.2273,0.2515,0.6686,0.6080,0.7871,0.1674
C08,continental_part_time,high_income_welfare,2019,0.7509,0.7983,0.6959,0.8588,0.8345,0.2780,0.2321,0.2469,0.6617,0.6252,0.7650,0.1570
C09,continental_part_time,high_income_welfare,2005,0.7357,0.7728,0.6502,0.8247,0.7525,0.3002,0.2300,0.2452,0.6537,0.5973,0.7511,0.1633
C09,continental_part_time,high_income_welfare,2012,0.7300,0.7918,0.6783,0.8341,0.8211,0.2881,0.2526,0.2464,0.6442,0.5966,0.7724,0.1686
C09,continental_part_time,high_income_welfare,2019,0.7960,0.7962,0.7304,0.8356,0.8219,0.2506,0.2229,0.2447,0.6880,0.6309,0.7956,0.1521
C10,continental_part_time,high_income_welfare,2005,0.7448,0.7962,0.6761,0.8379,0.7577,0.2798,0.2744,0.2521,0.6846,0.6039,0.7734,0.1754
C10,continental_part_time,high_income_welfare,2012,0.7424,0.7959,0.7213,0.8410,0.7983,0.3036,0.2393,0.2424,0.7080,0.6266,0.7638,0.1554
C10,continental_part_time,high_income_welfare,2019,0.7709,0.7838,0.7320,0.8475,0.8307,0.2800,0.2443,0.2413,0.6999,0.6182,0.7869,0.1587
C11,continental_part_time,high_income_welfare,2005,0.6991,0.7317,0.6740,0.8257,0.8054,0.2953,0.2466,0.2347,0.6393,0.6121,0.7629,0.1583
C11,continental_part_time,high_income_welfare,2012,0.7699,0.8040,0.6975,0.8388,0.7953,0.2766,0.2173,0.2528,0.6595,0.6300,0.8030,0.1600
C11,continental_part_time,high_income_welfare,2019,0.7786,0.8178,0.7333,0.8633,0.8138,0.2713,0.2515,0.2499,0.6630,0.6186,0.8048,0.1520
C12,continental_part_time,high_income_welfare,2005,0.7305,0.7874,0.7091,0.8309,0.7590,0.2847,0.2252,0.2310,0.6845,0.6048,0.7565,0.1808
