setting,local_cell,care_index,service_share,norm_restrictiveness,mobility_cost,informality_rate,legal_access_index,demand_opportunity,supply_feasibility,female_lfp,acceptable_service_jobs,transportability_score
care_bind_high_service,1,0.8150,0.8472,0.3437,0.1965,0.2550,0.7704,0.7720,0.5041,0.5898,0.4293,0.5843
care_bind_high_service,2,0.8199,0.8183,0.3459,0.2089,0.2016,0.7810,0.7678,0.5052,0.6232,0.3840,0.5884
care_bind_high_service,3,0.7491,0.8636,0.3380,0.1902,0.2766,0.7936,0.7757,0.4886,0.6149,0.4340,0.5753
care_bind_high_service,4,0.7372,0.8481,0.3244,0.2734,0.2178,0.7615,0.7783,0.4678,0.6005,0.4159,0.5660
care_bind_high_service,5,0.7939,0.8674,0.3297,0.2333,0.2658,0.8185,0.7791,0.5033,0.6001,0.4091,0.5885
care_bind_high_service,6,0.7332,0.8477,0.3935,0.2322,0.2144,0.7816,0.7787,0.4599,0.6095,0.4141,0.5612
care_bind_high_service,7,0.7455,0.8126,0.4296,0.1671,0.2212,0.7907,0.7622,0.4679,0.5967,0.3643,0.5597
care_bind_high_service,8,0.7856,0.8033,0.4048,0.2762,0.2002,0.7979,0.7614,0.4706,0.5941,0.3799,0.5637
care_bind_high_service,9,0.8101,0.8075,0.3571,0.2644,0.2519,0.7810,0.7550,0.4896,0.5851,0.4016,0.5694
care_bind_high_service,10,0.7928,0.7973,0.3240,0.2761,0.2322,0.8132,0.7537,0.4961,0.5848,0.3728,0.5772
care_bind_high_service,11,0.8379,0.9084,0.3897,0.2626,0.2393,0.7977,0.8014,0.4944,0.6113,0.4345,0.5907
care_bind_high_service,12,0.7781,0.8165,0.3981,0.1695,0.2883,0.8067,0.7531,0.4895,0.6042,0.3747,0.5664
care_bind_high_service,13,0.7981,0.8550,0.3551,0.2768,0.2840,0.8272,0.7708,0.4927,0.5916,0.3961,0.5771
care_bind_high_service,14,0.7588,0.8082,0.4101,0.2713,0.2593,0.7512,0.7541,0.4521,0.5637,0.3860,0.5415
care_bind_high_service,15,0.8136,0.7864,0.3486,0.2724,0.2769,0.7855,0.7417,0.4924,0.5789,0.3629,0.5647
care_bind_high_service,16,0.7382,0.8281,0.3947,0.2682,0.2050,0.7908,0.7716,0.4570,0.5818,0.3989,0.5580
care_bind_high_service,17,0.8350,0.8325,0.4126,0.1853,0.2207,0.7704,0.7710,0.4956,0.5861,0.3925,0.5800
care_bind_high_service,18,0.8329,0.8694,0.3816,0.2081,0.2185,0.7682,0.7876,0.4984,0.6119,0.4027,0.5885
care_bind_high_service,19,0.7901,0.8914,0.4105,0.2435,0.2287,0.8275,0.7956,0.4818,0.6208,0.4229,0.5827
care_bind_high_service,20,0.7911,0.8986,0.4104,0.2478,0.2803,0.8098,0.7905,0.4781,0.6057,0.4206,0.5732
care_bind_high_service,21,0.7760,0.8515,0.4075,0.2515,0.2633,0.7890,0.7725,0.4691,0.5743,0.3740,0.5611
care_bind_high_service,22,0.7431,0.7871,0.3867,0.2096,0.2243,0.7686,0.7504,0.4664,0.5963,0.3684,0.5537
care_bind_high_service,23,0.7868,0.8366,0.3633,0.1821,0.2526,0.8176,0.7677,0.5011,0.5887,0.3922,0.5833
care_bind_high_service,24,0.7866,0.8274,0.3714,0.2003,0.2659,0.8164,0.7615,0.4957,0.5895,0.4033,0.5763
care_bind_high_service,25,0.7803,0.8827,0.4079,0.2086,0.2569,0.7797,0.7873,0.4760,0.5888,0.4232,0.5709
care_bind_high_service,26,0.7315,0.7722,0.3490,0.2780,0.2976,0.8199,0.7322,0.4700,0.5775,0.3714,0.5470
care_bind_high_service,27,0.7424,0.8813,0.3806,0.2076,0.1957,0.7543,0.7964,0.4653,0.5916,0.4052,0.5714
care_bind_high_service,28,0.7807,0.8041,0.3220,0.1900,0.1960,0.7765,0.7625,0.5002,0.6201,0.4230,0.5839
care_bind_high_service,29,0.7272,0.8338,0.4345,0.2025,0.2985,0.7898,0.7591,0.4542,0.5779,0.3658,0.5433
care_bind_high_service,30,0.7552,0.8004,0.3641,0.2472,0.1861,0.7593,0.7624,0.4680,0.5809,0.3814,0.5621
care_bind_high_service,31,0.8153,0.8861,0.3674,0.1920,0.2164,0.7649,0.7953,0.4981,0.6260,0.4207,0.5913
care_bind_high_service,32,0.8394,0.9093,0.4367,0.2549,0.2922,0.7707,0.7933,0.4793,0.5889,0.3912,0.5713
care_bind_high_service,33,0.7260,0.8960,0.3882,0.1915,0.2066,0.8274,0.8012,0.4744,0.5961,0.4307,0.5822
care_bind_high_service,34,0.7522,0.8892,0.3650,0.2465,0.2989,0.7945,0.7834,0.4736,0.5725,0.4108,0.5661
care_bind_high_service,35,0.7850,0.8706,0.3577,0.2338,0.1926,0.7797,0.7923,0.4859,0.6131,0.3973,0.5853
care_bind_high_service,36,0.7345,0.8848,0.4101,0.2125,0.2891,0.7838,0.7831,0.4600,0.6005,0.4223,0.5566
care_bind_high_service,37,0.8163,0.8291,0.3366,0.2291,0.2985,0.7652,0.7571,0.4999,0.5811,0.3912,0.5724
care_bind_high_service,38,0.7332,0.7875,0.3402,0.2053,0.2895,0.7586,0.7402,0.4735,0.5914,0.3828,0.5495
care_bind_high_service,39,0.8185,0.8766,0.4052,0.1612,0.2499,0.8265,0.7857,0.5066,0.5915,0.4261,0.5934
care_bind_high_service,40,0.8141,0.9059,0.3425,0.1710,0.2281,0.7992,0.8021,0.5140,0.6139,0.4547,0.6055
norm_bind_high_service,1,0.3346,0.7246,0.7483,0.4465,0.3338,0.6005,0.7054,0.1649,0.4229,0.2101,0.3171
norm_bind_high_service,2,0.3790,0.7580,0.7168,0.5386,0.3238,0.5948,0.7217,0.1711,0.4332,0.1953,0.3281
norm_bind_high_service,3,0.3422,0.8239,0.7225,0.5354,0.3378,0.5839,0.7485,0.1556,0.4630,0.2382,0.3260
