worker_id,gender,track,skill_index,care_constraint,search_intensity,risk_tolerance,job_id,occupation,posted_wage,commute_minutes,flexibility_score,remote_option,firm_premium,gendered_language_score,family_friendly_score,applied,callback
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,0,0
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,1,1
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,0
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,1,0
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,1
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,0,0
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,1
W001,woman,managerial,0.7684,0.6079,0.5143,0.3564,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,1,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,0,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,1,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,1
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,0,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,0,0
W002,woman,general,0.6851,0.2901,0.3872,0.2676,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,1
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,1
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,1,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,1,0
