worker_id,gender,year,firm_type,firm_premium,flexibility_score,climate_score,skill_index,care_constraint,log_wage,promoted
WF001,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.6550,0.3721,3.6701,0
WF001,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.6550,0.3721,3.5467,0
WF001,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.6550,0.3721,3.8002,0
WF002,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.4739,0.3318,3.6082,1
WF002,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.4739,0.3318,3.6302,1
WF002,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.4739,0.3318,3.6934,0
WF003,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.7019,0.5031,3.5643,1
WF003,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.7019,0.5031,3.7335,0
WF003,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.7019,0.5031,3.6767,0
WF004,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.5314,0.5897,3.3843,1
WF004,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.5314,0.5897,3.5517,1
WF004,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.5314,0.5897,3.7165,1
WF005,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.7787,0.4888,3.5414,1
WF005,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.7787,0.4888,3.6216,1
WF005,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.7787,0.4888,3.6689,1
WF006,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.6212,0.6175,3.5801,0
WF006,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.6212,0.6175,3.5326,1
WF006,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.6212,0.6175,3.5916,1
WF007,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.5165,0.3973,3.5893,1
WF007,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.5165,0.3973,3.4634,1
WF007,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.5165,0.3973,3.6144,1
WF008,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.5624,0.5804,3.3842,1
WF008,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.5624,0.5804,3.4945,1
WF008,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.5624,0.5804,3.5245,1
WF009,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.6864,0.5351,3.5854,0
WF009,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.6864,0.5351,3.6519,0
WF009,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6864,0.5351,3.7275,1
WF010,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.6186,0.3982,3.4890,0
WF010,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.6186,0.3982,3.5964,0
WF010,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6186,0.3982,3.6490,1
WF011,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.6894,0.5208,3.4675,1
WF011,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.6894,0.5208,3.6455,0
WF011,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6894,0.5208,3.6848,1
WF012,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.4756,0.1240,3.3487,1
WF012,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.4756,0.1240,3.5519,0
WF012,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.4756,0.1240,3.6096,1
WF013,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.4213,0.7446,3.3905,0
WF013,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.4213,0.7446,3.3479,1
WF013,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.4213,0.7446,3.4275,0
WF014,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.7451,0.8104,3.5186,0
WF014,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.7451,0.8104,3.7883,1
WF014,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.7451,0.8104,3.6873,1
WF015,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.8120,0.6474,3.6025,0
WF015,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.8120,0.6474,3.7250,1
WF015,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.8120,0.6474,3.7714,1
WF016,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.7006,0.8414,3.5333,0
