ad_id,period,occupation,posted_wage,explicit_gender_preference,gendered_language_score,flexibility_score,applications_total,female_application_share
A001,pre_ban,logistics,36.1621,0,0.6161,0.2250,44,0.4379
A002,pre_ban,management,55.9906,0,0.6881,0.3159,40,0.4286
A003,pre_ban,tech,47.2367,0,0.7625,0.4746,62,0.4961
A004,pre_ban,admin,29.8549,0,0.4015,0.5223,60,0.5459
A005,pre_ban,logistics,40.2425,0,0.6386,0.3490,45,0.4332
A006,pre_ban,management,49.1859,1,0.5181,0.3537,31,0.2908
A007,pre_ban,logistics,38.4090,0,0.3321,0.4246,60,0.4988
A008,pre_ban,management,56.5220,0,0.2446,0.5496,54,0.5794
A009,pre_ban,admin,33.4527,0,0.4542,0.4549,53,0.5391
A010,pre_ban,admin,30.7580,0,0.1144,0.5918,49,0.5988
A011,pre_ban,management,55.2130,0,0.6189,0.4708,59,0.4701
A012,pre_ban,logistics,40.9024,0,0.6373,0.3530,48,0.4833
A013,pre_ban,management,49.9125,1,0.9003,0.4552,25,0.2512
A014,pre_ban,public,31.7573,0,0.1814,0.6481,64,0.5524
A015,pre_ban,tech,46.8741,0,0.3649,0.4152,50,0.5163
A016,pre_ban,tech,48.6024,0,0.5953,0.4526,51,0.4749
A017,pre_ban,admin,33.7912,0,0.3408,0.4739,57,0.4931
A018,pre_ban,tech,48.0076,0,0.7061,0.6633,53,0.5305
A019,pre_ban,care,29.8426,0,0.2337,0.7057,45,0.6274
A020,pre_ban,logistics,35.8701,1,0.5662,0.5131,39,0.3094
A021,pre_ban,care,26.7375,0,0.3617,0.5233,42,0.4937
A022,pre_ban,tech,50.7698,0,0.5946,0.5615,48,0.5585
A023,pre_ban,logistics,39.1563,0,0.6178,0.2602,58,0.4788
A024,pre_ban,admin,28.8958,0,0.4273,0.5480,51,0.5047
A025,pre_ban,logistics,40.4797,1,0.5922,0.6082,54,0.3150
A026,pre_ban,management,52.2970,0,0.5294,0.3873,46,0.4239
A027,pre_ban,management,50.7907,0,0.5056,0.4018,54,0.5049
A028,pre_ban,logistics,40.3448,0,0.3947,0.1048,40,0.4872
A029,pre_ban,public,34.9135,0,0.2071,0.5676,33,0.5742
A030,pre_ban,admin,31.1519,0,0.2651,0.8417,61,0.5981
A031,pre_ban,public,35.3620,0,0.1525,0.6310,56,0.6096
A032,pre_ban,admin,32.4264,0,0.3047,0.6628,64,0.5883
A033,pre_ban,public,31.1029,0,0.2014,0.7595,45,0.5652
A034,pre_ban,logistics,38.5285,1,0.8206,0.2588,37,0.1237
A035,pre_ban,admin,35.8249,0,0.0665,0.4425,49,0.6309
A036,pre_ban,management,52.5546,0,0.5531,0.5047,62,0.5217
A037,pre_ban,admin,34.4246,0,0.2153,0.6959,47,0.5575
A038,pre_ban,tech,48.0788,0,0.6205,0.3313,45,0.4449
A039,pre_ban,care,27.7864,0,0.2700,0.5485,62,0.5606
A040,pre_ban,admin,33.0494,0,0.0408,0.6299,52,0.6168
A041,pre_ban,admin,29.3728,0,0.1731,0.4703,49,0.6081
A042,pre_ban,logistics,41.2031,1,0.5677,0.5136,44,0.2325
A043,pre_ban,admin,34.6237,0,0.1324,0.7353,44,0.6126
A044,pre_ban,logistics,34.0467,0,0.6449,0.5804,32,0.4652
A045,pre_ban,care,30.1262,0,0.4346,0.7032,51,0.5723
A046,pre_ban,logistics,40.5101,1,0.6419,0.3979,41,0.2264
A047,pre_ban,care,29.1513,0,0.0796,0.7511,63,0.6070
A048,pre_ban,management,50.6219,0,0.4884,0.2691,43,0.4715
A049,pre_ban,management,56.8238,0,0.5716,0.3222,43,0.4942
