pair_id,application_id,identity_signal,occupation,employer_climate,state_protection,employer_size,resume_quality,local_unemployment,callback
P001,P001_control,control,sales,low,1,large,0.4605,0.0540,0
P001,P001_gay_signal,gay_signal,sales,low,1,large,0.4605,0.0540,1
P002,P002_control,control,clerical,middle,0,small,0.7142,0.0535,1
P002,P002_gay_signal,gay_signal,clerical,middle,0,small,0.7142,0.0535,1
P003,P003_control,control,finance,low,0,small,0.5187,0.0915,1
P003,P003_gay_signal,gay_signal,finance,low,0,small,0.5187,0.0915,0
P004,P004_control,control,management,low,0,large,0.7217,0.0692,1
P004,P004_gay_signal,gay_signal,management,low,0,large,0.7217,0.0692,0
P005,P005_control,control,public,low,1,large,0.6952,0.0858,0
P005,P005_gay_signal,gay_signal,public,low,1,large,0.6952,0.0858,0
P006,P006_control,control,tech,middle,0,large,0.4818,0.0551,0
P006,P006_gay_signal,gay_signal,tech,middle,0,large,0.4818,0.0551,1
P007,P007_control,control,sales,low,1,small,0.4263,0.0534,1
P007,P007_gay_signal,gay_signal,sales,low,1,small,0.4263,0.0534,0
P008,P008_control,control,clerical,low,0,large,0.4743,0.0676,1
P008,P008_gay_signal,gay_signal,clerical,low,0,large,0.4743,0.0676,1
P009,P009_control,control,finance,middle,0,medium,0.7357,0.0579,0
P009,P009_gay_signal,gay_signal,finance,middle,0,medium,0.7357,0.0579,0
P010,P010_control,control,management,middle,1,small,0.2591,0.0724,1
P010,P010_gay_signal,gay_signal,management,middle,1,small,0.2591,0.0724,0
P011,P011_control,control,public,high,0,large,0.4616,0.0438,1
P011,P011_gay_signal,gay_signal,public,high,0,large,0.4616,0.0438,1
P012,P012_control,control,tech,middle,1,small,0.6836,0.0619,0
P012,P012_gay_signal,gay_signal,tech,middle,1,small,0.6836,0.0619,1
P013,P013_control,control,sales,high,1,small,0.4101,0.0368,0
P013,P013_gay_signal,gay_signal,sales,high,1,small,0.4101,0.0368,0
P014,P014_control,control,clerical,middle,0,small,0.8873,0.0300,0
P014,P014_gay_signal,gay_signal,clerical,middle,0,small,0.8873,0.0300,1
P015,P015_control,control,finance,middle,1,medium,0.5788,0.0824,1
P015,P015_gay_signal,gay_signal,finance,middle,1,medium,0.5788,0.0824,1
P016,P016_control,control,management,low,0,small,0.7026,0.0306,0
P016,P016_gay_signal,gay_signal,management,low,0,small,0.7026,0.0306,0
P017,P017_control,control,public,middle,1,large,0.6409,0.0500,1
P017,P017_gay_signal,gay_signal,public,middle,1,large,0.6409,0.0500,1
P018,P018_control,control,tech,low,0,small,0.6628,0.0699,0
P018,P018_gay_signal,gay_signal,tech,low,0,small,0.6628,0.0699,1
P019,P019_control,control,sales,middle,0,small,0.6474,0.0575,0
P019,P019_gay_signal,gay_signal,sales,middle,0,small,0.6474,0.0575,0
P020,P020_control,control,clerical,middle,1,medium,0.7183,0.0571,0
P020,P020_gay_signal,gay_signal,clerical,middle,1,medium,0.7183,0.0571,1
P021,P021_control,control,finance,low,0,medium,0.5799,0.0558,0
P021,P021_gay_signal,gay_signal,finance,low,0,medium,0.5799,0.0558,1
P022,P022_control,control,management,middle,1,medium,0.4668,0.0758,0
P022,P022_gay_signal,gay_signal,management,middle,1,medium,0.4668,0.0758,1
P023,P023_control,control,public,middle,0,small,0.8179,0.0532,1
P023,P023_gay_signal,gay_signal,public,middle,0,small,0.8179,0.0532,0
P024,P024_control,control,tech,low,1,large,0.4969,0.0826,0
P024,P024_gay_signal,gay_signal,tech,low,1,large,0.4969,0.0826,0
P025,P025_control,control,sales,low,1,medium,0.8905,0.0611,0
P025,P025_gay_signal,gay_signal,sales,low,1,medium,0.8905,0.0611,1
P026,P026_control,control,clerical,middle,1,medium,0.5790,0.0572,0
P026,P026_gay_signal,gay_signal,clerical,middle,1,medium,0.5790,0.0572,0
P027,P027_control,control,finance,low,1,large,0.4034,0.0490,0
P027,P027_gay_signal,gay_signal,finance,low,1,large,0.4034,0.0490,0
P028,P028_control,control,management,middle,1,small,0.5645,0.0655,0
P028,P028_gay_signal,gay_signal,management,middle,1,small,0.5645,0.0655,1
P029,P029_control,control,public,low,1,medium,0.7018,0.0699,0
P029,P029_gay_signal,gay_signal,public,low,1,medium,0.7018,0.0699,0
P030,P030_control,control,tech,middle,1,small,0.5379,0.0707,1
P030,P030_gay_signal,gay_signal,tech,middle,1,small,0.5379,0.0707,0
P031,P031_control,control,sales,middle,0,medium,0.5435,0.0452,0
P031,P031_gay_signal,gay_signal,sales,middle,0,medium,0.5435,0.0452,0
P032,P032_control,control,clerical,low,1,medium,0.7012,0.0529,1
P032,P032_gay_signal,gay_signal,clerical,low,1,medium,0.7012,0.0529,0
P033,P033_control,control,finance,middle,1,large,0.5846,0.0805,0
P033,P033_gay_signal,gay_signal,finance,middle,1,large,0.5846,0.0805,0
P034,P034_control,control,management,low,0,large,0.8299,0.0522,0
P034,P034_gay_signal,gay_signal,management,low,0,large,0.8299,0.0522,0
P035,P035_control,control,public,middle,0,small,0.6289,0.0671,1
P035,P035_gay_signal,gay_signal,public,middle,0,small,0.6289,0.0671,1
P036,P036_control,control,tech,high,1,small,0.4008,0.0300,0
P036,P036_gay_signal,gay_signal,tech,high,1,small,0.4008,0.0300,0
P037,P037_control,control,sales,middle,0,medium,0.5342,0.0838,1
P037,P037_gay_signal,gay_signal,sales,middle,0,medium,0.5342,0.0838,0
P038,P038_control,control,clerical,middle,0,small,0.7253,0.0800,1
P038,P038_gay_signal,gay_signal,clerical,middle,0,small,0.7253,0.0800,0
P039,P039_control,control,finance,high,1,small,0.5466,0.0476,0
P039,P039_gay_signal,gay_signal,finance,high,1,small,0.5466,0.0476,0
P040,P040_control,control,management,middle,0,medium,0.7258,0.0828,0
P040,P040_gay_signal,gay_signal,management,middle,0,medium,0.7258,0.0828,1
P041,P041_control,control,public,high,0,medium,0.5317,0.1060,0
P041,P041_gay_signal,gay_signal,public,high,0,medium,0.5317,0.1060,0
P042,P042_control,control,tech,middle,0,large,0.6573,0.0639,1
P042,P042_gay_signal,gay_signal,tech,middle,0,large,0.6573,0.0639,0
P043,P043_control,control,sales,low,0,medium,0.7000,0.0563,1
P043,P043_gay_signal,gay_signal,sales,low,0,medium,0.7000,0.0563,1
P044,P044_control,control,clerical,high,0,medium,0.4130,0.0592,0
P044,P044_gay_signal,gay_signal,clerical,high,0,medium,0.4130,0.0592,0
P045,P045_control,control,finance,middle,0,large,0.8919,0.0770,1
P045,P045_gay_signal,gay_signal,finance,middle,0,large,0.8919,0.0770,0
P046,P046_control,control,management,middle,0,large,0.3917,0.0643,1
P046,P046_gay_signal,gay_signal,management,middle,0,large,0.3917,0.0643,0
P047,P047_control,control,public,low,1,large,0.6255,0.0712,1
P047,P047_gay_signal,gay_signal,public,low,1,large,0.6255,0.0712,0
P048,P048_control,control,tech,low,0,medium,0.4316,0.0517,0
P048,P048_gay_signal,gay_signal,tech,low,0,medium,0.4316,0.0517,0
