employer_id,sector,large_employer,unionized,pre_domestic_partner_benefits,post_retained_partner_benefits,post_expanded_spousal_coverage
E001,finance,1,0,1,1,1
E002,finance,1,0,0,0,1
E003,private_services,1,0,1,1,1
E004,private_services,1,0,1,1,1
E005,public,0,0,1,1,1
E006,private_services,0,0,0,0,1
E007,health,0,0,1,1,0
E008,tech,1,0,0,0,0
E009,private_services,1,0,0,0,0
E010,health,1,0,1,0,1
E011,public,1,0,1,0,1
E012,finance,1,0,1,0,1
E013,public,1,1,0,0,1
E014,private_services,1,0,0,0,1
E015,health,0,1,1,1,1
E016,finance,0,0,0,0,1
E017,health,0,0,1,0,1
E018,private_services,1,0,0,0,1
E019,tech,1,0,1,1,1
E020,public,1,0,1,1,0
E021,tech,1,0,1,0,1
E022,finance,1,0,1,0,1
E023,public,1,0,1,1,1
E024,tech,1,0,1,0,0
E025,public,0,0,0,0,1
E026,public,1,0,1,0,0
E027,finance,1,0,1,0,1
E028,tech,0,0,1,1,1
E029,finance,0,0,1,0,0
E030,tech,0,0,0,0,0
E031,tech,1,0,1,0,0
E032,health,1,0,0,0,0
E033,finance,1,0,1,0,0
E034,public,1,1,1,1,1
E035,tech,1,0,0,0,1
E036,tech,1,1,1,1,1
E037,finance,1,0,0,0,1
E038,finance,1,1,0,0,1
E039,tech,1,0,1,0,1
E040,tech,1,0,0,0,1
E041,tech,0,0,1,0,1
E042,finance,0,1,0,0,1
E043,health,0,1,0,0,1
E044,health,1,1,1,1,0
E045,tech,1,0,0,0,1
E046,tech,0,1,0,0,1
E047,tech,1,0,1,0,1
E048,finance,0,0,1,1,1
E049,private_services,0,1,0,0,1
E050,finance,0,0,0,0,1
E051,public,1,0,1,1,0
E052,public,1,0,1,1,0
E053,finance,1,0,1,0,1
E054,finance,0,0,0,0,0
E055,private_services,0,0,0,0,0
E056,tech,1,0,0,0,1
E057,tech,1,0,0,0,0
E058,tech,1,0,1,1,1
E059,health,0,0,0,0,1
E060,health,1,0,0,0,1
E061,tech,0,0,0,0,0
E062,private_services,1,0,0,0,1
E063,finance,1,0,0,0,1
E064,tech,0,0,0,0,0
E065,tech,1,1,1,1,1
E066,public,0,0,1,1,1
E067,tech,1,1,1,0,1
E068,health,1,1,0,0,1
E069,finance,1,0,0,0,0
E070,public,1,0,1,0,1
E071,tech,0,0,0,0,1
E072,health,1,0,1,0,1
E073,public,1,1,1,1,1
E074,tech,1,0,0,0,1
E075,health,0,0,1,0,1
E076,tech,0,0,1,0,1
E077,finance,1,0,1,1,1
E078,private_services,0,0,0,0,1
E079,health,1,0,0,0,1
E080,health,0,0,0,0,1
E081,private_services,1,0,1,0,1
E082,public,1,0,1,1,1
E083,health,0,0,1,1,0
E084,finance,1,0,1,0,1
E085,private_services,1,0,0,0,0
E086,tech,1,0,1,1,1
E087,private_services,0,1,0,0,1
E088,health,0,1,1,0,1
E089,health,0,0,0,0,1
E090,tech,1,0,0,0,0
E091,public,1,0,1,1,1
E092,public,1,1,1,1,1
E093,public,0,0,0,0,1
E094,finance,1,0,0,0,1
E095,finance,1,0,1,0,1
E096,public,1,0,0,0,1
E097,health,0,1,1,1,0
E098,public,0,0,0,0,0
E099,private_services,0,0,0,0,0
E100,tech,1,1,0,0,1
E101,private_services,0,0,0,0,1
E102,tech,0,0,0,0,1
