pair_id,application_id,identity_signal,occupation,customer_facing,employer_climate,local_protection,resume_quality,callback
T001,T001_cis_signal,cis_signal,admin,0,middle,1,0.7056,1
T001,T001_trans_signal,trans_signal,admin,0,middle,1,0.7056,1
T002,T002_cis_signal,cis_signal,tech,0,middle,0,0.4767,0
T002,T002_trans_signal,trans_signal,tech,0,middle,0,0.4767,0
T003,T003_cis_signal,cis_signal,tech,0,middle,1,0.5648,0
T003,T003_trans_signal,trans_signal,tech,0,middle,1,0.5648,0
T004,T004_cis_signal,cis_signal,admin,0,low,0,0.7528,0
T004,T004_trans_signal,trans_signal,admin,0,low,0,0.7528,0
T005,T005_cis_signal,cis_signal,care,1,middle,0,0.6216,1
T005,T005_trans_signal,trans_signal,care,1,middle,0,0.6216,1
T006,T006_cis_signal,cis_signal,public,1,high,1,0.4504,1
T006,T006_trans_signal,trans_signal,public,1,high,1,0.4504,0
T007,T007_cis_signal,cis_signal,logistics,0,middle,1,0.4485,1
T007,T007_trans_signal,trans_signal,logistics,0,middle,1,0.4485,0
T008,T008_cis_signal,cis_signal,tech,0,middle,0,0.8158,0
T008,T008_trans_signal,trans_signal,tech,0,middle,0,0.8158,1
T009,T009_cis_signal,cis_signal,retail,1,low,0,0.9593,1
T009,T009_trans_signal,trans_signal,retail,1,low,0,0.9593,0
T010,T010_cis_signal,cis_signal,logistics,0,high,1,0.5090,1
T010,T010_trans_signal,trans_signal,logistics,0,high,1,0.5090,1
T011,T011_cis_signal,cis_signal,tech,0,middle,0,0.4810,1
T011,T011_trans_signal,trans_signal,tech,0,middle,0,0.4810,0
T012,T012_cis_signal,cis_signal,public,1,low,0,0.4862,1
T012,T012_trans_signal,trans_signal,public,1,low,0,0.4862,0
T013,T013_cis_signal,cis_signal,tech,0,middle,1,0.8710,0
T013,T013_trans_signal,trans_signal,tech,0,middle,1,0.8710,1
T014,T014_cis_signal,cis_signal,public,1,high,1,0.4987,0
T014,T014_trans_signal,trans_signal,public,1,high,1,0.4987,0
T015,T015_cis_signal,cis_signal,logistics,0,low,0,0.6785,0
T015,T015_trans_signal,trans_signal,logistics,0,low,0,0.6785,0
T016,T016_cis_signal,cis_signal,logistics,0,high,1,0.4699,0
T016,T016_trans_signal,trans_signal,logistics,0,high,1,0.4699,0
T017,T017_cis_signal,cis_signal,logistics,0,middle,1,0.6649,1
T017,T017_trans_signal,trans_signal,logistics,0,middle,1,0.6649,0
T018,T018_cis_signal,cis_signal,care,1,high,1,0.4835,1
T018,T018_trans_signal,trans_signal,care,1,high,1,0.4835,1
T019,T019_cis_signal,cis_signal,admin,0,middle,1,0.6433,0
T019,T019_trans_signal,trans_signal,admin,0,middle,1,0.6433,1
T020,T020_cis_signal,cis_signal,retail,1,high,1,0.8212,1
T020,T020_trans_signal,trans_signal,retail,1,high,1,0.8212,1
T021,T021_cis_signal,cis_signal,care,1,middle,1,0.7572,1
T021,T021_trans_signal,trans_signal,care,1,middle,1,0.7572,1
T022,T022_cis_signal,cis_signal,care,1,high,1,0.5083,1
T022,T022_trans_signal,trans_signal,care,1,high,1,0.5083,1
T023,T023_cis_signal,cis_signal,retail,1,middle,0,0.4444,0
T023,T023_trans_signal,trans_signal,retail,1,middle,0,0.4444,0
T024,T024_cis_signal,cis_signal,logistics,0,middle,0,0.8182,1
T024,T024_trans_signal,trans_signal,logistics,0,middle,0,0.8182,0
T025,T025_cis_signal,cis_signal,care,1,middle,1,0.8217,0
T025,T025_trans_signal,trans_signal,care,1,middle,1,0.8217,0
T026,T026_cis_signal,cis_signal,care,1,low,1,0.3422,1
T026,T026_trans_signal,trans_signal,care,1,low,1,0.3422,0
T027,T027_cis_signal,cis_signal,logistics,0,low,0,0.5314,0
T027,T027_trans_signal,trans_signal,logistics,0,low,0,0.5314,0
T028,T028_cis_signal,cis_signal,care,1,middle,0,0.4349,1
T028,T028_trans_signal,trans_signal,care,1,middle,0,0.4349,0
T029,T029_cis_signal,cis_signal,admin,0,low,0,0.3707,0
T029,T029_trans_signal,trans_signal,admin,0,low,0,0.3707,0
T030,T030_cis_signal,cis_signal,retail,1,middle,1,0.6458,0
T030,T030_trans_signal,trans_signal,retail,1,middle,1,0.6458,0
T031,T031_cis_signal,cis_signal,care,1,low,0,0.5748,0
T031,T031_trans_signal,trans_signal,care,1,low,0,0.5748,1
T032,T032_cis_signal,cis_signal,admin,0,high,1,0.4583,0
T032,T032_trans_signal,trans_signal,admin,0,high,1,0.4583,0
T033,T033_cis_signal,cis_signal,tech,0,middle,1,0.6321,0
T033,T033_trans_signal,trans_signal,tech,0,middle,1,0.6321,0
T034,T034_cis_signal,cis_signal,tech,0,middle,1,0.5637,1
T034,T034_trans_signal,trans_signal,tech,0,middle,1,0.5637,0
T035,T035_cis_signal,cis_signal,retail,1,low,0,0.5407,0
T035,T035_trans_signal,trans_signal,retail,1,low,0,0.5407,1
T036,T036_cis_signal,cis_signal,logistics,0,high,1,0.9530,1
