state,year,event_time,post_recognition,couple_type,employment_rate,specialization_index
S01,2010,-2,0,different_sex_couple,0.7285,0.2818
S01,2010,-2,0,same_sex_couple,0.6858,0.3250
S01,2011,-1,0,different_sex_couple,0.7250,0.2834
S01,2011,-1,0,same_sex_couple,0.7008,0.3120
S01,2012,0,1,different_sex_couple,0.7344,0.2745
S01,2012,0,1,same_sex_couple,0.7314,0.3037
S01,2013,1,1,different_sex_couple,0.7426,0.2796
S01,2013,1,1,same_sex_couple,0.7347,0.2975
S01,2014,2,1,different_sex_couple,0.7439,0.2688
S01,2014,2,1,same_sex_couple,0.7380,0.2838
S01,2015,3,1,different_sex_couple,0.7444,0.2600
S01,2015,3,1,same_sex_couple,0.7546,0.2838
S01,2016,4,1,different_sex_couple,0.7433,0.2600
S01,2016,4,1,same_sex_couple,0.7492,0.2698
S01,2017,5,1,different_sex_couple,0.7647,0.2535
S01,2017,5,1,same_sex_couple,0.7712,0.2784
S01,2018,6,1,different_sex_couple,0.7616,0.2473
S01,2018,6,1,same_sex_couple,0.7634,0.2643
S02,2010,-3,0,different_sex_couple,0.7619,0.2853
S02,2010,-3,0,same_sex_couple,0.7215,0.3187
S02,2011,-2,0,different_sex_couple,0.7469,0.2878
S02,2011,-2,0,same_sex_couple,0.7209,0.3126
S02,2012,-1,0,different_sex_couple,0.7680,0.2755
S02,2012,-1,0,same_sex_couple,0.7334,0.3233
S02,2013,0,1,different_sex_couple,0.7568,0.2769
S02,2013,0,1,same_sex_couple,0.7558,0.3045
S02,2014,1,1,different_sex_couple,0.7794,0.2751
S02,2014,1,1,same_sex_couple,0.7756,0.2955
S02,2015,2,1,different_sex_couple,0.7859,0.2709
S02,2015,2,1,same_sex_couple,0.7820,0.2879
S02,2016,3,1,different_sex_couple,0.7965,0.2616
S02,2016,3,1,same_sex_couple,0.7941,0.2712
S02,2017,4,1,different_sex_couple,0.7823,0.2473
S02,2017,4,1,same_sex_couple,0.7938,0.2745
S02,2018,5,1,different_sex_couple,0.7980,0.2513
S02,2018,5,1,same_sex_couple,0.7964,0.2669
S03,2010,-3,0,different_sex_couple,0.7358,0.2834
S03,2010,-3,0,same_sex_couple,0.7184,0.3347
S03,2011,-2,0,different_sex_couple,0.7524,0.2848
S03,2011,-2,0,same_sex_couple,0.7315,0.3277
S03,2012,-1,0,different_sex_couple,0.7510,0.2868
S03,2012,-1,0,same_sex_couple,0.7387,0.3202
S03,2013,0,1,different_sex_couple,0.7710,0.2758
S03,2013,0,1,same_sex_couple,0.7573,0.2940
S03,2014,1,1,different_sex_couple,0.7593,0.2762
S03,2014,1,1,same_sex_couple,0.7560,0.2857
S03,2015,2,1,different_sex_couple,0.7818,0.2747
S03,2015,2,1,same_sex_couple,0.7650,0.2877
S03,2016,3,1,different_sex_couple,0.7880,0.2515
S03,2016,3,1,same_sex_couple,0.7765,0.2662
S03,2017,4,1,different_sex_couple,0.7792,0.2512
S03,2017,4,1,same_sex_couple,0.7950,0.2666
S03,2018,5,1,different_sex_couple,0.7994,0.2446
S03,2018,5,1,same_sex_couple,0.7909,0.2684
S04,2010,-4,0,different_sex_couple,0.7567,0.2910
S04,2010,-4,0,same_sex_couple,0.7518,0.3344
S04,2011,-3,0,different_sex_couple,0.7725,0.2800
S04,2011,-3,0,same_sex_couple,0.7407,0.3210
S04,2012,-2,0,different_sex_couple,0.7819,0.2769
S04,2012,-2,0,same_sex_couple,0.7594,0.3181
S04,2013,-1,0,different_sex_couple,0.7887,0.2819
S04,2013,-1,0,same_sex_couple,0.7476,0.3052
S04,2014,0,1,different_sex_couple,0.7924,0.2663
S04,2014,0,1,same_sex_couple,0.7876,0.2927
S04,2015,1,1,different_sex_couple,0.7985,0.2619
S04,2015,1,1,same_sex_couple,0.8030,0.2904
S04,2016,2,1,different_sex_couple,0.8133,0.2648
S04,2016,2,1,same_sex_couple,0.8014,0.2869
S04,2017,3,1,different_sex_couple,0.7968,0.2604
S04,2017,3,1,same_sex_couple,0.8188,0.2810
S04,2018,4,1,different_sex_couple,0.8226,0.2508
S04,2018,4,1,same_sex_couple,0.8267,0.2667
S05,2010,-4,0,different_sex_couple,0.7386,0.2921
S05,2010,-4,0,same_sex_couple,0.7104,0.3348
S05,2011,-3,0,different_sex_couple,0.7329,0.2789
S05,2011,-3,0,same_sex_couple,0.7190,0.3176
S05,2012,-2,0,different_sex_couple,0.7383,0.2695
S05,2012,-2,0,same_sex_couple,0.7309,0.3173
S05,2013,-1,0,different_sex_couple,0.7435,0.2655
S05,2013,-1,0,same_sex_couple,0.7310,0.3128
S05,2014,0,1,different_sex_couple,0.7605,0.2656
S05,2014,0,1,same_sex_couple,0.7652,0.2962
S05,2015,1,1,different_sex_couple,0.7715,0.2577
S05,2015,1,1,same_sex_couple,0.7586,0.2958
S05,2016,2,1,different_sex_couple,0.7677,0.2513
S05,2016,2,1,same_sex_couple,0.7685,0.2810
S05,2017,3,1,different_sex_couple,0.7829,0.2651
S05,2017,3,1,same_sex_couple,0.7752,0.2718
S05,2018,4,1,different_sex_couple,0.7926,0.2616
S05,2018,4,1,same_sex_couple,0.7844,0.2670
S06,2010,-5,0,different_sex_couple,0.7453,0.2886
S06,2010,-5,0,same_sex_couple,0.7244,0.3151
S06,2011,-4,0,different_sex_couple,0.7573,0.2897
