place_id,place_name,worker_group,demand_shock,housing_supply_elasticity,commuting_openness,moving_cost_index,wage_change,rent_change,house_value_change,population_change,employment_change,commuting_change,moving_cost_drag,capital_gain,real_access_change,incidence_label,interpretation
P01,tight-tech-boom,low_wealth_renters,0.2,0.35,0.4,0.75,0.1012,0.1124,0.1343,0.0273,0.0704,0.0356,0.0136,0.0,-0.0248,rent_burden_offsets_wage_gain,notowidigdo_inspired_transfer_not_official_replication
P01,tight-tech-boom,incumbent_homeowners,0.2,0.35,0.4,0.75,0.1012,0.1124,0.1343,0.0273,0.0704,0.0356,0.0056,0.0628,0.1191,homeowner_capitalization,notowidigdo_inspired_transfer_not_official_replication
P01,tight-tech-boom,in_commuters,0.2,0.35,0.4,0.75,0.1012,0.1124,0.1343,0.0273,0.0704,0.0356,0.0072,0.0074,0.0789,commuter_access_gain,notowidigdo_inspired_transfer_not_official_replication
P01,tight-tech-boom,would_be_migrants,0.2,0.35,0.4,0.75,0.1012,0.1124,0.1343,0.0273,0.0704,0.0356,0.0144,0.0,-0.02,entry_blocked_by_rents_and_moving_costs,notowidigdo_inspired_transfer_not_official_replication
P02,open-logistics-boom,low_wealth_renters,0.15,1.55,0.55,0.45,0.0618,0.0337,0.0375,0.0503,0.0568,0.0339,0.0078,0.0,0.0203,worker_real_access_gain,notowidigdo_inspired_transfer_not_official_replication
P02,open-logistics-boom,incumbent_homeowners,0.15,1.55,0.55,0.45,0.0618,0.0337,0.0375,0.0503,0.0568,0.0339,0.0036,0.0144,0.0608,homeowner_capitalization,notowidigdo_inspired_transfer_not_official_replication
P02,open-logistics-boom,in_commuters,0.15,1.55,0.55,0.45,0.0618,0.0337,0.0375,0.0503,0.0568,0.0339,0.0042,0.0021,0.0529,commuter_access_gain,notowidigdo_inspired_transfer_not_official_replication
P02,open-logistics-boom,would_be_migrants,0.15,1.55,0.55,0.45,0.0618,0.0337,0.0375,0.0503,0.0568,0.0339,0.009,0.0,0.0224,worker_real_access_gain,notowidigdo_inspired_transfer_not_official_replication
P03,declining-manufacturing,low_wealth_renters,-0.12,1.1,0.25,0.7,-0.0562,-0.044,-0.0476,-0.0302,-0.039,-0.0156,0.0077,-0.0,-0.0198,immobile_workers_bear_local_decline,notowidigdo_inspired_transfer_not_official_replication
P03,declining-manufacturing,incumbent_homeowners,-0.12,1.1,0.25,0.7,-0.0562,-0.044,-0.0476,-0.0302,-0.039,-0.0156,0.0038,-0.0209,-0.0655,immobile_workers_bear_local_decline,notowidigdo_inspired_transfer_not_official_replication
P03,declining-manufacturing,in_commuters,-0.12,1.1,0.25,0.7,-0.0562,-0.044,-0.0476,-0.0302,-0.039,-0.0156,0.0034,-0.0026,-0.0533,immobile_workers_bear_local_decline,notowidigdo_inspired_transfer_not_official_replication
P03,declining-manufacturing,would_be_migrants,-0.12,1.1,0.25,0.7,-0.0562,-0.044,-0.0476,-0.0302,-0.039,-0.0156,0.0082,-0.0,-0.0247,immobile_workers_bear_local_decline,notowidigdo_inspired_transfer_not_official_replication
P04,commuting-open-boom,low_wealth_renters,0.18,0.65,0.85,0.5,0.0817,0.0779,0.1011,0.037,0.0779,0.058,0.0101,0.0,-0.0063,rent_burden_offsets_wage_gain,notowidigdo_inspired_transfer_not_official_replication
P04,commuting-open-boom,incumbent_homeowners,0.18,0.65,0.85,0.5,0.0817,0.0779,0.1011,0.037,0.0779,0.058,0.0043,0.0417,0.0918,homeowner_capitalization,notowidigdo_inspired_transfer_not_official_replication
P04,commuting-open-boom,in_commuters,0.18,0.65,0.85,0.5,0.0817,0.0779,0.1011,0.037,0.0779,0.058,0.005,0.0056,0.0667,commuter_access_gain,notowidigdo_inspired_transfer_not_official_replication
P04,commuting-open-boom,would_be_migrants,0.18,0.65,0.85,0.5,0.0817,0.0779,0.1011,0.037,0.0779,0.058,0.0115,0.0,0.0001,worker_real_access_gain,notowidigdo_inspired_transfer_not_official_replication
