place_id,place_name,worker_group,demand_shock,housing_supply_elasticity,commuting_openness,moving_cost_index,baseline_wage,baseline_rent,rent_exposure,mobility_constraint,ownership_exposure
P01,tight-tech-boom,low_wealth_renters,0.20,0.35,0.40,0.75,28.00,14.00,1.00,0.85,0.00
P01,tight-tech-boom,incumbent_homeowners,0.20,0.35,0.40,0.75,36.00,13.00,0.35,0.35,0.85
P01,tight-tech-boom,in_commuters,0.20,0.35,0.40,0.75,31.00,9.00,0.20,0.45,0.10
P01,tight-tech-boom,would_be_migrants,0.20,0.35,0.40,0.75,30.00,15.00,0.95,0.90,0.00
P02,open-logistics-boom,low_wealth_renters,0.15,1.55,0.55,0.45,22.00,9.00,1.00,0.65,0.00
P02,open-logistics-boom,incumbent_homeowners,0.15,1.55,0.55,0.45,28.00,8.00,0.35,0.30,0.70
P02,open-logistics-boom,in_commuters,0.15,1.55,0.55,0.45,25.00,7.00,0.20,0.35,0.10
P02,open-logistics-boom,would_be_migrants,0.15,1.55,0.55,0.45,24.00,9.50,0.90,0.75,0.00
P03,declining-manufacturing,low_wealth_renters,-0.12,1.10,0.25,0.70,20.00,7.50,1.00,0.80,0.00
P03,declining-manufacturing,incumbent_homeowners,-0.12,1.10,0.25,0.70,26.00,7.00,0.35,0.40,0.80
P03,declining-manufacturing,in_commuters,-0.12,1.10,0.25,0.70,23.00,6.00,0.20,0.35,0.10
P03,declining-manufacturing,would_be_migrants,-0.12,1.10,0.25,0.70,22.00,7.50,0.90,0.85,0.00
P04,commuting-open-boom,low_wealth_renters,0.18,0.65,0.85,0.50,24.00,10.50,1.00,0.70,0.00
P04,commuting-open-boom,incumbent_homeowners,0.18,0.65,0.85,0.50,32.00,10.00,0.35,0.30,0.75
P04,commuting-open-boom,in_commuters,0.18,0.65,0.85,0.50,29.00,8.00,0.20,0.35,0.10
P04,commuting-open-boom,would_be_migrants,0.18,0.65,0.85,0.50,28.00,11.00,0.90,0.80,0.00

