worker_id,treated_onset,event_time,age_at_onset,education_years,condition_severity,physical_demand,local_labor_demand,employer_quality,latent_work_capacity,accommodation_received,benefit_receipt,job_mobility,feasible_jobs,employed,hours,annual_earnings_index
worker_001,1,-3,39,13,0.474,0.45,0.8,0.45,0.878,0,0,0,6,1,38.16,1475.48
worker_001,1,-2,39,13,0.474,0.45,0.8,0.45,0.878,0,0,0,6,1,38.16,1475.48
worker_001,1,-1,39,13,0.474,0.45,0.8,0.45,0.878,0,0,0,6,1,38.16,1475.48
worker_001,1,0,39,13,0.474,0.45,0.8,0.45,0.61,0,0,0,4,1,30.65,1150.66
worker_001,1,1,39,13,0.474,0.45,0.8,0.45,0.575,1,0,0,5,1,32.67,1221.74
worker_001,1,2,39,13,0.474,0.45,0.8,0.45,0.54,1,0,0,5,1,31.69,1180.48
worker_001,1,3,39,13,0.474,0.45,0.8,0.45,0.505,1,0,0,5,1,30.71,1139.5
worker_001,1,4,39,13,0.474,0.45,0.8,0.45,0.47,1,0,0,5,1,29.73,1098.81
worker_001,1,5,39,13,0.474,0.45,0.8,0.45,0.435,1,0,0,4,0,0.0,0.0
worker_002,1,-3,40,15,0.562,0.6,0.65,0.6,0.912,0,0,0,6,1,37.98,1558.0
worker_002,1,-2,40,15,0.562,0.6,0.65,0.6,0.912,0,0,0,6,1,37.98,1558.0
worker_002,1,-1,40,15,0.562,0.6,0.65,0.6,0.912,0,0,0,6,1,37.98,1558.0
worker_002,1,0,40,15,0.562,0.6,0.65,0.6,0.638,0,0,0,4,0,0.0,0.0
worker_002,1,1,40,15,0.562,0.6,0.65,0.6,0.603,1,0,0,5,1,32.33,1284.92
worker_002,1,2,40,15,0.562,0.6,0.65,0.6,0.608,1,0,0,5,1,32.47,1291.16
worker_002,1,3,40,15,0.562,0.6,0.65,0.6,0.613,1,0,0,5,1,32.61,1297.4
worker_002,1,4,40,15,0.562,0.6,0.65,0.6,0.618,1,0,0,5,1,32.75,1303.66
worker_002,1,5,40,15,0.562,0.6,0.65,0.6,0.623,1,0,0,5,1,32.89,1309.91
worker_003,1,-3,41,17,0.654,0.78,0.5,0.75,0.946,0,0,0,6,1,37.61,1629.77
worker_003,1,-2,41,17,0.654,0.78,0.5,0.75,0.946,0,0,0,6,1,37.61,1629.77
worker_003,1,-1,41,17,0.654,0.78,0.5,0.75,0.946,0,0,0,6,1,37.61,1629.77
worker_003,1,0,41,17,0.654,0.78,0.5,0.75,0.667,0,0,0,3,0,0.0,0.0
worker_003,1,1,41,17,0.654,0.78,0.5,0.75,0.632,1,0,0,5,1,31.81,1336.93
worker_003,1,2,41,17,0.654,0.78,0.5,0.75,0.637,1,0,0,5,1,31.95,1343.48
worker_003,1,3,41,17,0.654,0.78,0.5,0.75,0.642,1,0,0,5,1,32.09,1350.03
worker_003,1,4,41,17,0.654,0.78,0.5,0.75,0.647,1,0,0,5,1,32.23,1356.59
worker_003,1,5,41,17,0.654,0.78,0.5,0.75,0.652,1,0,0,5,1,32.37,1363.16
worker_004,1,-3,42,11,0.66,0.25,0.35,0.3,0.884,0,0,0,6,1,38.81,1418.75
worker_004,1,-2,42,11,0.66,0.25,0.35,0.3,0.884,0,0,0,6,1,38.81,1418.75
worker_004,1,-1,42,11,0.66,0.25,0.35,0.3,0.884,0,0,0,6,1,38.81,1418.75
worker_004,1,0,42,11,0.66,0.25,0.35,0.3,0.604,0,0,0,4,0,0.0,0.0
worker_004,1,1,42,11,0.66,0.25,0.35,0.3,0.569,0,0,0,4,0,0.0,0.0
worker_004,1,2,42,11,0.66,0.25,0.35,0.3,0.534,0,1,0,3,0,0.0,0.0
worker_004,1,3,42,11,0.66,0.25,0.35,0.3,0.499,0,1,0,2,0,0.0,0.0
worker_004,1,4,42,11,0.66,0.25,0.35,0.3,0.464,0,1,0,2,0,0.0,0.0
worker_004,1,5,42,11,0.66,0.25,0.35,0.3,0.429,0,1,0,2,0,0.0,0.0
worker_005,1,-3,43,13,0.754,0.45,0.8,0.45,0.918,0,0,0,7,1,39.28,1525.31
worker_005,1,-2,43,13,0.754,0.45,0.8,0.45,0.918,0,0,0,7,1,39.28,1525.31
worker_005,1,-1,43,13,0.754,0.45,0.8,0.45,0.918,0,0,0,7,1,39.28,1525.31
worker_005,1,0,43,13,0.754,0.45,0.8,0.45,0.633,0,0,0,4,1,31.3,1178.07
worker_005,1,1,43,13,0.754,0.45,0.8,0.45,0.598,1,0,0,6,1,33.32,1249.25
worker_005,1,2,43,13,0.754,0.45,0.8,0.45,0.563,1,0,0,5,1,32.34,1207.8
worker_005,1,3,43,13,0.754,0.45,0.8,0.45,0.528,1,0,0,5,1,31.36,1166.63
worker_005,1,4,43,13,0.754,0.45,0.8,0.45,0.493,1,0,0,5,1,30.38,1125.75
