household_id,treated_family_shock,event_time,focal_age,spouse_age,has_young_child,pension_eligible,baseline_assets,retirement_savings_index,job_flexibility,shock_severity,mortality_risk,care_intensity,informal_care_hours,focal_hours,spouse_hours,household_earnings_index,savings_drawdown,flexible_job_switch,retirement_claiming,bridge_job_transition,post_retirement_work
household_001,1,-3,34,32,1,0,52500,0.525,0.4,0.507,0.02,0.0,0.0,34.48,32.8,2399.2,0.0,0,0,0,0
household_001,1,-2,35,33,1,0,52500,0.525,0.4,0.507,0.02,0.0,0.0,34.48,32.8,2399.2,0.0,0,0,0,0
household_001,1,-1,36,34,1,0,52500,0.525,0.4,0.507,0.02,0.0,0.0,34.48,32.8,2399.2,0.0,0,0,0,0
household_001,1,0,37,35,1,0,52500,0.525,0.4,0.507,0.162,0.572,12.52,32.41,27.73,2153.01,3264.93,0,0,0,0
household_001,1,1,38,36,1,0,52500,0.501,0.4,0.507,0.202,0.672,13.52,31.43,25.93,2056.49,3489.93,1,0,0,0
household_001,1,2,39,37,1,0,52500,0.477,0.4,0.507,0.242,0.772,14.52,30.46,24.13,1959.97,3714.93,1,0,0,0
household_001,1,3,40,38,1,0,52500,0.453,0.4,0.507,0.282,0.872,15.52,29.49,22.33,1863.45,3939.93,1,0,0,0
household_001,1,4,41,39,1,0,52500,0.429,0.4,0.507,0.322,0.972,16.52,28.51,20.53,1766.92,4164.93,1,0,0,0
household_001,1,5,42,40,1,0,52500,0.405,0.4,0.507,0.362,1.0,16.8,28.24,18.73,1697.28,4227.7,1,0,0,0
household_002,1,-3,37,36,0,0,60000,0.6,0.55,0.544,0.02,0.0,0.0,36.71,34.0,2585.77,0.0,0,0,0,0
household_002,1,-2,38,37,0,0,60000,0.6,0.55,0.544,0.02,0.0,0.0,36.71,34.0,2585.77,0.0,0,0,0,0
household_002,1,-1,39,38,0,0,60000,0.6,0.55,0.544,0.02,0.0,0.0,36.71,34.0,2585.77,0.0,0,0,0,0
household_002,1,0,40,39,0,0,60000,0.6,0.55,0.544,0.172,0.583,10.83,34.91,28.56,2331.94,3188.1,0,0,0,0
household_002,1,1,41,40,0,0,60000,0.576,0.55,0.544,0.212,0.683,11.83,34.01,26.76,2235.65,3413.1,0,0,0,0
household_002,1,2,42,41,0,0,60000,0.552,0.55,0.544,0.252,0.783,12.83,33.1,24.96,2139.35,3638.1,0,0,0,0
household_002,1,3,43,42,0,0,60000,0.528,0.55,0.544,0.292,0.883,13.83,32.19,23.16,2043.06,3863.1,0,0,0,0
household_002,1,4,44,43,0,0,60000,0.504,0.55,0.544,0.332,0.983,14.83,31.28,21.36,1946.76,4088.1,0,0,0,0
household_002,1,5,45,44,0,0,60000,0.48,0.55,0.544,0.372,1.0,15.0,31.13,19.56,1880.09,4125.9,0,0,0,0
household_003,1,-3,40,40,0,0,67500,0.675,0.72,0.579,0.02,0.0,0.0,37.38,34.0,2674.55,0.0,0,0,0,0
household_003,1,-2,41,41,0,0,67500,0.675,0.72,0.579,0.02,0.0,0.0,37.38,34.0,2674.55,0.0,0,0,0,0
household_003,1,-1,42,42,0,0,67500,0.675,0.72,0.579,0.02,0.0,0.0,37.38,34.0,2674.55,0.0,0,0,0,0
household_003,1,0,43,43,0,0,67500,0.675,0.72,0.579,0.182,0.594,10.94,35.94,28.21,2416.76,3088.02,0,0,0,0
household_003,1,1,44,44,0,0,67500,0.651,0.72,0.579,0.222,0.694,11.94,35.11,26.41,2321.17,3313.01,0,0,0,0
household_003,1,2,45,45,0,0,67500,0.627,0.72,0.579,0.262,0.794,12.94,34.27,24.61,2225.58,3538.01,0,0,0,0
household_003,1,3,46,46,0,0,67500,0.603,0.72,0.579,0.302,0.894,13.94,33.44,22.81,2129.99,3763.01,0,0,0,0
household_003,1,4,47,47,0,0,67500,0.579,0.72,0.579,0.342,0.994,14.94,32.61,21.01,2034.4,3988.01,0,0,0,0
household_003,1,5,48,48,0,0,67500,0.555,0.72,0.579,0.382,1.0,15.0,32.55,19.21,1970.11,4002.46,0,0,0,0
household_004,1,-3,43,44,0,0,76800,0.768,0.88,0.614,0.02,0.0,0.0,38.04,34.0,2763.7,0.0,0,0,0,0
household_004,1,-2,44,45,0,0,76800,0.768,0.88,0.614,0.02,0.0,0.0,38.04,34.0,2763.7,0.0,0,0,0,0
household_004,1,-1,45,46,0,0,76800,0.768,0.88,0.614,0.02,0.0,0.0,38.04,34.0,2763.7,0.0,0,0,0,0
household_004,1,0,46,47,0,0,76800,0.768,0.88,0.614,0.192,0.604,11.04,36.93,27.86,2501.05,2999.56,0,0,0,0
household_004,1,1,47,48,0,0,76800,0.744,0.88,0.614,0.232,0.704,12.04,36.16,26.06,2406.12,3224.56,0,0,0,0
household_004,1,2,48,49,0,0,76800,0.72,0.88,0.614,0.272,0.804,13.04,35.4,24.26,2311.19,3449.56,0,0,0,0
