region_id,worker_group,year,frontline,remote_feasible,migrant_share,care_burden,older_worker_share,aging_share,dependency_ratio,disease_exposure,policy_intensity,environmental_exposure,school_care_constraint,demand_collapse,capacity_loss,remote_work_rate,migration_out_rate,automation_adoption,employment_index,hours_index,wage_index,productivity_index,welfare_loss_index
region_01,frontline_service,2018,1,0.08,0.24,0.48,0.18,0.178,0.609,0.08,0.0,0.277,0.0,0.0,0.083,0.014,0.015,0.129,97.763,97.756,98.783,96.562,13.48
region_01,frontline_service,2019,1,0.08,0.24,0.48,0.18,0.184,0.611,0.08,0.0,0.277,0.0,0.0,0.083,0.014,0.015,0.13,98.51,98.106,99.786,97.117,13.5
region_01,frontline_service,2020,1,0.08,0.24,0.48,0.18,0.19,0.614,0.764,0.82,0.277,0.379,0.476,0.344,0.064,0.051,0.214,83.147,91.468,101.514,93.659,41.038
region_01,frontline_service,2021,1,0.08,0.24,0.48,0.18,0.196,0.616,0.456,0.38,0.327,0.176,0.221,0.237,0.042,0.037,0.184,92.07,95.057,102.356,95.519,29.207
region_01,frontline_service,2022,1,0.08,0.24,0.48,0.18,0.202,0.619,0.23,0.1,0.377,0.046,0.058,0.161,0.061,0.028,0.214,98.135,97.591,103.332,97.169,21.024
region_01,frontline_service,2023,1,0.08,0.24,0.48,0.18,0.208,0.621,0.148,0.04,0.427,0.019,0.023,0.14,0.055,0.026,0.211,100.071,98.267,104.274,97.704,19.184
region_01,remote_professional,2018,0,0.86,0.1,0.34,0.16,0.175,0.545,0.08,0.0,0.207,0.0,0.0,0.069,0.155,0.022,0.12,98.651,98.668,102.356,97.542,10.804
region_01,remote_professional,2019,0,0.86,0.1,0.34,0.16,0.181,0.547,0.08,0.0,0.207,0.0,0.0,0.069,0.155,0.022,0.121,99.397,99.018,103.359,98.097,10.825
region_01,remote_professional,2020,0,0.86,0.1,0.34,0.16,0.187,0.55,0.265,0.82,0.207,0.171,0.031,0.153,0.688,0.047,0.135,99.589,98.344,104.829,98.567,17.102
region_01,remote_professional,2021,0,0.86,0.1,0.34,0.16,0.193,0.552,0.182,0.38,0.257,0.079,0.014,0.126,0.448,0.037,0.136,100.598,99.032,105.703,98.659,15.163
region_01,remote_professional,2022,0,0.86,0.1,0.34,0.16,0.199,0.555,0.121,0.1,0.307,0.021,0.004,0.108,0.659,0.043,0.189,103.121,100.798,106.752,99.714,12.41
region_01,remote_professional,2023,0,0.86,0.1,0.34,0.16,0.205,0.557,0.098,0.04,0.357,0.008,0.002,0.108,0.595,0.041,0.195,103.685,100.875,107.771,99.778,12.946
region_01,manufacturing_heat,2018,0,0.18,0.18,0.26,0.24,0.189,0.605,0.08,0.0,0.431,0.0,0.0,0.114,0.032,0.024,0.15,97.353,96.895,100.62,95.064,16.852
region_01,manufacturing_heat,2019,0,0.18,0.18,0.26,0.24,0.195,0.608,0.08,0.0,0.431,0.0,0.0,0.114,0.032,0.024,0.151,98.099,97.245,101.623,95.619,16.873
region_01,manufacturing_heat,2020,0,0.18,0.18,0.26,0.24,0.201,0.61,0.437,0.82,0.431,0.196,0.176,0.268,0.144,0.045,0.226,91.997,94.098,103.345,94.373,30.82
region_01,manufacturing_heat,2021,0,0.18,0.18,0.26,0.24,0.207,0.613,0.276,0.38,0.481,0.091,0.082,0.209,0.094,0.037,0.2,96.106,95.925,104.133,95.237,25.39
region_01,manufacturing_heat,2022,0,0.18,0.18,0.26,0.24,0.213,0.615,0.158,0.1,0.531,0.024,0.022,0.168,0.138,0.035,0.233,99.249,97.44,105.103,96.247,21.521
region_01,manufacturing_heat,2023,0,0.18,0.18,0.26,0.24,0.219,0.618,0.116,0.04,0.581,0.01,0.009,0.16,0.125,0.034,0.231,100.423,97.799,106.076,96.517,21.158
region_01,care_and_health,2018,1,0.12,0.2,0.56,0.22,0.186,0.608,0.08,0.0,0.249,0.0,0.0,0.078,0.022,0.016,0.127,97.876,97.95,99.705,96.863,12.833
region_01,care_and_health,2019,1,0.12,0.2,0.56,0.22,0.192,0.611,0.08,0.0,0.249,0.0,0.0,0.078,0.022,0.016,0.128,98.622,98.299,100.708,97.418,12.854
region_01,care_and_health,2020,1,0.12,0.2,0.56,0.22,0.198,0.613,0.752,0.82,0.249,0.434,0.468,0.339,0.096,0.052,0.209,83.117,91.082,102.449,94.073,40.899
region_01,care_and_health,2021,1,0.12,0.2,0.56,0.22,0.204,0.616,0.449,0.38,0.299,0.201,0.217,0.232,0.063,0.037,0.18,92.128,94.989,103.284,95.882,28.753
region_01,care_and_health,2022,1,0.12,0.2,0.56,0.22,0.21,0.618,0.228,0.1,0.349,0.053,0.057,0.155,0.092,0.029,0.211,98.331,97.785,104.255,97.53,20.308
region_01,care_and_health,2023,1,0.12,0.2,0.56,0.22,0.216,0.621,0.147,0.04,0.399,0.021,0.023,0.134,0.083,0.027,0.209,100.271,98.499,105.196,98.052,18.454
region_01,migrant_food_and_delivery,2018,1,0.05,0.52,0.38,0.12,0.168,0.606,0.08,0.0,0.368,0.0,0.0,0.102,0.009,0.009,0.138,97.498,97.191,98.434,95.631,15.414
region_01,migrant_food_and_delivery,2019,1,0.05,0.52,0.38,0.12,0.174,0.609,0.08,0.0,0.368,0.0,0.0,0.102,0.009,0.009,0.139,98.244,97.541,99.437,96.186,15.434
region_01,migrant_food_and_delivery,2020,1,0.05,0.52,0.38,0.12,0.18,0.611,0.815,0.82,0.368,0.305,0.483,0.373,0.04,0.046,0.226,83.104,91.63,101.222,92.37,43.272
region_01,migrant_food_and_delivery,2021,1,0.05,0.52,0.38,0.12,0.186,0.614,0.484,0.38,0.418,0.141,0.224,0.261,0.026,0.031,0.194,91.887,94.814,102.04,94.391,31.422
region_01,migrant_food_and_delivery,2022,1,0.05,0.52,0.38,0.12,0.192,0.616,0.242,0.1,0.468,0.037,0.059,0.181,0.038,0.021,0.223,97.806,97.051,102.997,96.132,23.218
region_01,migrant_food_and_delivery,2023,1,0.05,0.52,0.38,0.12,0.198,0.619,0.153,0.04,0.518,0.015,0.024,0.159,0.035,0.019,0.22,99.737,97.681,103.932,96.71,21.28
region_01,older_local_services,2018,0,0.2,0.08,0.3,0.54,0.243,0.626,0.08,0.0,0.27,0.0,0.0,0.082,0.036,0.021,0.141,97.827,97.874,99.285,96.728,13.431
region_01,older_local_services,2019,0,0.2,0.08,0.3,0.54,0.249,0.629,0.08,0.0,0.27,0.0,0.0,0.082,0.036,0.021,0.142,98.573,98.224,100.288,97.282,13.451
region_01,older_local_services,2020,0,0.2,0.08,0.3,0.54,0.255,0.631,0.444,0.82,0.27,0.224,0.172,0.274,0.16,0.043,0.215,91.895,94.398,102.247,96.005,28.076
region_01,older_local_services,2021,0,0.2,0.08,0.3,0.54,0.261,0.634,0.28,0.38,0.32,0.104,0.08,0.198,0.104,0.035,0.19,96.275,96.56,102.928,96.883,22.298
region_01,older_local_services,2022,0,0.2,0.08,0.3,0.54,0.267,0.636,0.16,0.1,0.37,0.027,0.021,0.144,0.153,0.033,0.224,99.654,98.334,103.819,97.922,18.158
region_01,older_local_services,2023,0,0.2,0.08,0.3,0.54,0.273,0.639,0.116,0.04,0.42,0.011,0.008,0.131,0.138,0.032,0.222,100.89,98.759,104.765,98.195,17.737
region_02,frontline_service,2018,1,0.08,0.24,0.48,0.18,0.19,0.614,0.08,0.0,0.313,0.0,0.0,0.091,0.014,0.016,0.136,97.648,97.544,98.842,96.218,14.304
region_02,frontline_service,2019,1,0.08,0.24,0.48,0.18,0.196,0.616,0.08,0.0,0.313,0.0,0.0,0.091,0.014,0.016,0.137,98.395,97.894,99.845,96.773,14.324
region_02,frontline_service,2020,1,0.08,0.24,0.48,0.18,0.202,0.619,0.764,0.82,0.313,0.379,0.475,0.351,0.064,0.051,0.221,83.056,91.256,101.576,93.314,41.862
region_02,frontline_service,2021,1,0.08,0.24,0.48,0.18,0.208,0.621,0.456,0.38,0.363,0.176,0.22,0.244,0.042,0.037,0.191,91.969,94.845,102.417,95.174,30.031
region_02,frontline_service,2022,1,0.08,0.24,0.48,0.18,0.214,0.624,0.23,0.1,0.413,0.046,0.058,0.168,0.061,0.028,0.221,98.025,97.379,103.392,96.824,21.847
region_02,frontline_service,2023,1,0.08,0.24,0.48,0.18,0.22,0.626,0.148,0.04,0.463,0.019,0.023,0.147,0.055,0.026,0.218,99.958,98.055,104.333,97.36,20.008
region_02,remote_professional,2018,0,0.86,0.1,0.34,0.16,0.187,0.55,0.08,0.0,0.243,0.0,0.0,0.077,0.155,0.022,0.126,98.536,98.456,102.415,97.197,11.628
region_02,remote_professional,2019,0,0.86,0.1,0.34,0.16,0.193,0.552,0.08,0.0,0.243,0.0,0.0,0.077,0.155,0.022,0.128,99.282,98.806,103.418,97.752,11.648
region_02,remote_professional,2020,0,0.86,0.1,0.34,0.16,0.199,0.555,0.265,0.82,0.243,0.171,0.03,0.16,0.688,0.047,0.141,99.498,98.132,104.891,98.222,17.925
region_02,remote_professional,2021,0,0.86,0.1,0.34,0.16,0.205,0.557,0.182,0.38,0.293,0.079,0.014,0.133,0.448,0.038,0.143,100.496,98.82,105.763,98.314,15.986
region_02,remote_professional,2022,0,0.86,0.1,0.34,0.16,0.211,0.56,0.121,0.1,0.343,0.021,0.004,0.115,0.659,0.043,0.196,103.011,100.586,106.812,99.37,13.234
region_02,remote_professional,2023,0,0.86,0.1,0.34,0.16,0.217,0.562,0.098,0.04,0.393,0.008,0.001,0.115,0.595,0.042,0.202,103.572,100.663,107.831,99.434,13.77
region_02,manufacturing_heat,2018,0,0.18,0.18,0.26,0.24,0.201,0.61,0.08,0.0,0.467,0.0,0.0,0.121,0.032,0.024,0.156,97.238,96.683,100.679,94.719,17.676
region_02,manufacturing_heat,2019,0,0.18,0.18,0.26,0.24,0.207,0.613,0.08,0.0,0.467,0.0,0.0,0.121,0.032,0.024,0.157,97.984,97.033,101.682,95.274,17.696
region_02,manufacturing_heat,2020,0,0.18,0.18,0.26,0.24,0.213,0.615,0.437,0.82,0.467,0.196,0.175,0.275,0.144,0.045,0.232,91.906,93.886,103.407,94.028,31.643
region_02,manufacturing_heat,2021,0,0.18,0.18,0.26,0.24,0.219,0.618,0.276,0.38,0.517,0.091,0.081,0.216,0.094,0.038,0.206,96.005,95.713,104.193,94.892,26.214
region_02,manufacturing_heat,2022,0,0.18,0.18,0.26,0.24,0.225,0.62,0.158,0.1,0.567,0.024,0.021,0.175,0.138,0.035,0.239,99.139,97.228,105.162,95.902,22.345
region_02,manufacturing_heat,2023,0,0.18,0.18,0.26,0.24,0.231,0.623,0.116,0.04,0.617,0.01,0.009,0.167,0.125,0.034,0.238,100.311,97.587,106.136,96.172,21.982
region_02,care_and_health,2018,1,0.12,0.2,0.56,0.22,0.198,0.613,0.08,0.0,0.285,0.0,0.0,0.085,0.022,0.016,0.134,97.761,97.737,99.764,96.519,13.657
region_02,care_and_health,2019,1,0.12,0.2,0.56,0.22,0.204,0.616,0.08,0.0,0.285,0.0,0.0,0.085,0.022,0.016,0.135,98.507,98.087,100.767,97.073,13.677
region_02,care_and_health,2020,1,0.12,0.2,0.56,0.22,0.21,0.618,0.752,0.82,0.285,0.434,0.466,0.346,0.096,0.052,0.215,83.026,90.87,102.51,93.728,41.722
region_02,care_and_health,2021,1,0.12,0.2,0.56,0.22,0.216,0.621,0.449,0.38,0.335,0.201,0.216,0.239,0.063,0.038,0.187,92.026,94.777,103.344,95.537,29.577
region_02,care_and_health,2022,1,0.12,0.2,0.56,0.22,0.222,0.623,0.228,0.1,0.385,0.053,0.057,0.162,0.092,0.03,0.218,98.221,97.573,104.314,97.186,21.132
region_02,care_and_health,2023,1,0.12,0.2,0.56,0.22,0.228,0.626,0.147,0.04,0.435,0.021,0.023,0.141,0.083,0.027,0.216,100.158,98.287,105.255,97.708,19.278
region_02,migrant_food_and_delivery,2018,1,0.05,0.52,0.38,0.12,0.18,0.611,0.08,0.0,0.404,0.0,0.0,0.109,0.009,0.009,0.144,97.383,96.979,98.493,95.287,16.238
region_02,migrant_food_and_delivery,2019,1,0.05,0.52,0.38,0.12,0.186,0.614,0.08,0.0,0.404,0.0,0.0,0.109,0.009,0.009,0.146,98.129,97.329,99.496,95.841,16.258
region_02,migrant_food_and_delivery,2020,1,0.05,0.52,0.38,0.12,0.192,0.616,0.815,0.82,0.404,0.305,0.481,0.38,0.04,0.047,0.232,83.013,91.418,101.283,92.025,44.096
region_02,migrant_food_and_delivery,2021,1,0.05,0.52,0.38,0.12,0.198,0.619,0.484,0.38,0.454,0.141,0.223,0.268,0.026,0.032,0.201,91.785,94.602,102.1,94.046,32.246
