worker_id,event_year,affected,baseline_capacity,firm_accommodation_capacity,household_buffer,program_access,high_skill_job,flexible_job,severity,capacity_index,accommodation,benefit_receipt,job_mobility,employment,hours,earnings,consumption,welfare_index
worker_001,-3,1,0.916,0.44,0.6,0.48,1,0,0.0,0.916,0,0,0.035,0.918,38.0,75.424,84.878,0.906
worker_001,-2,1,0.916,0.44,0.6,0.48,1,0,0.0,0.916,0,0,0.035,0.918,38.0,76.787,85.451,0.906
worker_001,-1,1,0.916,0.44,0.6,0.48,1,0,0.08,0.878,0,0,0.046,0.877,36.56,71.857,82.78,0.877
worker_001,0,1,0.916,0.44,0.6,0.48,1,0,0.36,0.743,0,0,0.145,0.731,31.52,52.544,74.669,0.771
worker_001,1,1,0.916,0.44,0.6,0.48,1,0,0.395,0.726,0,0,0.165,0.713,30.89,51.038,73.773,0.758
worker_001,2,1,0.916,0.44,0.6,0.48,1,0,0.43,0.68,0,1,0.185,0.514,24.86,30.121,82.726,0.694
worker_001,3,1,0.916,0.44,0.6,0.48,1,0,0.465,0.663,0,1,0.205,0.495,24.23,28.759,81.891,0.68
worker_001,4,1,0.916,0.44,0.6,0.48,1,0,0.5,0.646,0,1,0.225,0.477,23.6,27.393,81.055,0.667
worker_001,5,1,0.916,0.44,0.6,0.48,1,0,0.5,0.646,0,1,0.24,0.476,23.6,27.78,81.218,0.666
worker_002,-3,1,0.912,0.52,0.18,0.57,0,1,0.0,0.912,0,0,0.035,0.958,40.2,83.401,87.389,0.873
worker_002,-2,1,0.912,0.52,0.18,0.57,0,1,0.0,0.912,0,0,0.035,0.958,40.2,84.988,88.055,0.873
worker_002,-1,1,0.912,0.52,0.18,0.57,0,1,0.08,0.874,0,0,0.046,0.917,38.76,79.93,85.33,0.843
worker_002,0,1,0.912,0.52,0.18,0.57,0,1,0.38,0.73,0,0,0.088,0.765,33.36,58.406,74.671,0.733
worker_002,1,1,0.912,0.52,0.18,0.57,0,1,0.415,0.793,1,0,0.068,0.858,36.33,72.685,80.405,0.812
worker_002,2,1,0.912,0.52,0.18,0.57,0,1,0.45,0.746,1,1,0.088,0.66,30.3,47.413,87.528,0.748
worker_002,3,1,0.912,0.52,0.18,0.57,0,1,0.485,0.729,1,1,0.108,0.641,29.67,45.895,86.629,0.734
worker_002,4,1,0.912,0.52,0.18,0.57,0,1,0.52,0.712,1,1,0.128,0.622,29.04,44.356,85.719,0.721
worker_002,5,1,0.912,0.52,0.18,0.57,0,1,0.52,0.712,1,1,0.143,0.621,29.04,45.035,86.005,0.72
worker_003,-3,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.035,0.918,38.0,79.453,85.87,0.878
worker_003,-2,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.035,0.918,38.0,80.964,86.505,0.878
worker_003,-1,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.035,0.918,38.0,82.476,87.14,0.878
worker_003,0,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.095,0.914,38.0,83.658,88.512,0.875
worker_003,1,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.11,0.913,38.0,85.08,89.109,0.875
worker_003,2,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.125,0.913,38.0,86.5,89.705,0.874
