applicant_id,program_id,program_name,program_region,capacity,rural_priority,applicant_region_preference,service_commitment,risk_aversion,couple_member,preference_score,priority_score,applicant_rank,program_rank
A001,P01,Metro General Medicine,urban,14,0,coastal,1,0.35,1,47.613,40.21,4,105
A001,P02,Lakeside Pediatrics,coastal,12,0,coastal,1,0.35,1,58.436,43.649,2,83
A001,P03,Prairie Family Medicine,rural,12,1,coastal,1,0.35,1,42.911,50.245,6,56
A001,P04,Capital Surgery,urban,10,0,coastal,1,0.35,1,49.493,40.74,3,105
A001,P05,Valley Psychiatry,midwest,12,0,coastal,1,0.35,1,38.295,38.915,8,95
A001,P06,Mountain Internal Medicine,rural,12,1,coastal,1,0.35,1,45.335,50.881,5,57
A001,P07,Harbor Emergency Medicine,coastal,10,0,coastal,1,0.35,1,59.679,43.585,1,79
A001,P08,River Public Service Track,rural,12,1,coastal,1,0.35,1,41.241,50.391,7,55
A002,P01,Metro General Medicine,urban,14,0,rural,0,0.48,0,48.494,52.941,4,38
A002,P02,Lakeside Pediatrics,coastal,12,0,rural,0,0.48,0,44.308,52.227,7,32
A002,P03,Prairie Family Medicine,rural,12,1,rural,0,0.48,0,50.651,53.442,2,40
A002,P04,Capital Surgery,urban,10,0,rural,0,0.48,0,49.754,52.869,3,41
A002,P05,Valley Psychiatry,midwest,12,0,rural,0,0.48,0,38.362,50.441,8,36
A002,P06,Mountain Internal Medicine,rural,12,1,rural,0,0.48,0,52.47,54.441,1,37
A002,P07,Harbor Emergency Medicine,coastal,10,0,rural,0,0.48,0,44.989,51.441,6,34
A002,P08,River Public Service Track,rural,12,1,rural,0,0.48,0,48.451,53.87,5,34
A003,P01,Metro General Medicine,urban,14,0,midwest,0,0.61,0,49.376,40.382,3,102
A003,P02,Lakeside Pediatrics,coastal,12,0,midwest,0,0.61,0,44.264,39.516,5,100
A003,P03,Prairie Family Medicine,rural,12,1,midwest,0,0.61,0,35.475,37.207,7,109
A003,P04,Capital Surgery,urban,10,0,midwest,0,0.61,0,50.931,41.566,2,100
A003,P05,Valley Psychiatry,midwest,12,0,midwest,0,0.61,0,54.346,41.608,1,82
A003,P06,Mountain Internal Medicine,rural,12,1,midwest,0,0.61,0,37.605,37.642,6,109
A003,P07,Harbor Emergency Medicine,coastal,10,0,midwest,0,0.61,0,45.3,38.938,4,100
A003,P08,River Public Service Track,rural,12,1,midwest,0,0.61,0,33.66,36.99,8,108
A004,P01,Metro General Medicine,urban,14,0,urban,0,0.74,0,64.34,55.113,2,26
A004,P02,Lakeside Pediatrics,coastal,12,0,urban,0,0.74,0,45.136,50.093,4,47
A004,P03,Prairie Family Medicine,rural,12,1,urban,0,0.74,0,36.215,46.404,7,75
A004,P04,Capital Surgery,urban,10,0,urban,0,0.74,0,66.192,55.694,1,26
A004,P05,Valley Psychiatry,midwest,12,0,urban,0,0.74,0,39.413,48.063,5,48
A004,P06,Mountain Internal Medicine,rural,12,1,urban,0,0.74,0,38.657,47.203,6,75
A004,P07,Harbor Emergency Medicine,coastal,10,0,urban,0,0.74,0,45.611,48.794,3,50
A004,P08,River Public Service Track,rural,12,1,urban,0,0.74,0,33.869,46.469,8,73
A005,P01,Metro General Medicine,urban,14,0,coastal,1,0.22,0,50.222,61.844,4,4
A005,P02,Lakeside Pediatrics,coastal,12,0,coastal,1,0.22,0,61.008,63.742,1,1
A005,P03,Prairie Family Medicine,rural,12,1,coastal,1,0.22,0,44.038,68.529,6,4
A005,P04,Capital Surgery,urban,10,0,coastal,1,0.22,0,52.37,61.823,3,7
A005,P05,Valley Psychiatry,midwest,12,0,coastal,1,0.22,0,39.48,57.59,8,4
A005,P06,Mountain Internal Medicine,rural,12,1,coastal,1,0.22,0,46.792,69.692,5,4
A005,P07,Harbor Emergency Medicine,coastal,10,0,coastal,1,0.22,0,60.922,62.651,2,1
A005,P08,River Public Service Track,rural,12,1,coastal,1,0.22,0,42.078,67.948,7,4
A006,P01,Metro General Medicine,urban,14,0,rural,1,0.35,0,51.103,49.286,5,56
A006,P02,Lakeside Pediatrics,coastal,12,0,rural,1,0.35,0,45.964,47.96,7,60
A006,P03,Prairie Family Medicine,rural,12,1,rural,1,0.35,0,59.778,59.366,2,22
A006,P04,Capital Surgery,urban,10,0,rural,1,0.35,0,52.631,50.52,4,51
A006,P05,Valley Psychiatry,midwest,12,0,rural,1,0.35,0,40.464,44.757,8,67
A006,P06,Mountain Internal Medicine,rural,12,1,rural,1,0.35,0,61.927,60.893,1,20
A006,P07,Harbor Emergency Medicine,coastal,10,0,rural,1,0.35,0,47.149,46.147,6,64
A006,P08,River Public Service Track,rural,12,1,rural,1,0.35,0,57.288,59.067,3,23
A007,P01,Metro General Medicine,urban,14,0,midwest,0,0.48,0,47.966,50.258,3,50
A007,P02,Lakeside Pediatrics,coastal,12,0,midwest,0,0.48,0,43.406,49.279,5,51
A007,P03,Prairie Family Medicine,rural,12,1,midwest,0,0.48,0,34.544,48.494,7,65
A007,P04,Capital Surgery,urban,10,0,midwest,0,0.48,0,49.497,50.176,2,53
A007,P05,Valley Psychiatry,midwest,12,0,midwest,0,0.48,0,52.983,53.024,1,21
A007,P06,Mountain Internal Medicine,rural,12,1,midwest,0,0.48,0,36.612,48.504,6,68
A007,P07,Harbor Emergency Medicine,coastal,10,0,midwest,0,0.48,0,44.422,49.554,4,47
A007,P08,River Public Service Track,rural,12,1,midwest,0,0.48,0,32.635,48.024,8,64
A008,P01,Metro General Medicine,urban,14,0,urban,0,0.61,0,62.931,41.7,2,95
A008,P02,Lakeside Pediatrics,coastal,12,0,urban,0,0.61,0,44.279,37.496,4,113
A008,P03,Prairie Family Medicine,rural,12,1,urban,0,0.61,0,35.284,35.33,7,113
A008,P04,Capital Surgery,urban,10,0,urban,0,0.61,0,64.757,42.873,1,91
A008,P05,Valley Psychiatry,midwest,12,0,urban,0,0.61,0,38.05,36.191,5,111
A008,P06,Mountain Internal Medicine,rural,12,1,urban,0,0.61,0,37.663,35.704,6,114
A008,P07,Harbor Emergency Medicine,coastal,10,0,urban,0,0.61,0,44.733,37.051,3,111
A008,P08,River Public Service Track,rural,12,1,urban,0,0.61,0,32.844,35.143,8,112
A009,P01,Metro General Medicine,urban,14,0,coastal,0,0.74,0,48.813,48.431,4,61
A009,P02,Lakeside Pediatrics,coastal,12,0,coastal,0,0.74,0,59.234,51.145,2,40
A009,P03,Prairie Family Medicine,rural,12,1,coastal,0,0.74,0,35.107,45.456,7,79
A009,P04,Capital Surgery,urban,10,0,coastal,0,0.74,0,50.935,49.002,3,63
A009,P05,Valley Psychiatry,midwest,12,0,coastal,0,0.74,0,39.034,45.717,5,62
A009,P06,Mountain Internal Medicine,rural,12,1,coastal,0,0.74,0,37.798,46.194,6,79
A009,P07,Harbor Emergency Medicine,coastal,10,0,coastal,0,0.74,0,60.043,50.907,1,37
A009,P08,River Public Service Track,rural,12,1,coastal,0,0.74,0,33.053,44.623,8,82
A010,P01,Metro General Medicine,urban,14,0,rural,1,0.22,0,49.694,59.161,5,10
A010,P02,Lakeside Pediatrics,coastal,12,0,rural,1,0.22,0,45.107,57.723,7,8
A010,P03,Prairie Family Medicine,rural,12,1,rural,1,0.22,0,58.847,70.653,2,1
A010,P04,Capital Surgery,urban,10,0,rural,1,0.22,0,51.196,59.13,4,10
