applicant_id,centralized_program,centralized_applicant_rank,decentralized_program,decentralized_applicant_rank,same_assignment
A001,P08,7,unmatched,,0
A002,P06,1,P06,1,1
A003,unmatched,,unmatched,,1
A004,P01,2,P01,2,1
A005,P02,1,P04,3,0
A006,P06,1,P03,2,0
A007,P05,1,P05,1,1
A008,unmatched,,unmatched,,1
A009,P02,2,P07,1,0
A010,P06,1,P03,2,0
A011,P06,4,P06,4,1
A012,P04,1,P01,2,0
A013,unmatched,,unmatched,,1
A014,P08,5,P07,6,0
A015,P05,1,P05,1,1
A016,P03,6,P06,3,0
A017,P07,1,P02,2,0
A018,unmatched,,P08,5,0
A019,P05,1,P04,2,0
A020,P04,1,P06,3,0
A021,P03,6,P07,1,0
A022,P03,3,P06,1,0
A023,unmatched,,unmatched,,1
A024,P01,2,P01,2,1
A025,P07,1,P04,3,0
A026,P03,2,P06,1,0
A027,P01,3,P05,1,0
A028,unmatched,,unmatched,,1
A029,P02,2,P02,2,1
A030,P06,1,P03,2,0
A031,P03,7,P06,4,0
A032,P01,2,P04,1,0
A033,unmatched,,unmatched,,1
A034,P08,4,P08,4,1
A035,P05,1,P05,1,1
A036,P03,6,unmatched,,0
A037,P07,1,P02,2,0
A038,unmatched,,unmatched,,1
A039,unmatched,,P05,1,0
A040,P04,1,P06,3,0
A041,P08,7,P03,6,0
A042,P03,3,P01,4,0
A043,unmatched,,unmatched,,1
A044,P01,2,P01,2,1
A045,P07,1,P02,2,0
A046,P03,2,P08,3,0
A047,P01,3,P02,5,0
A048,P04,1,P01,2,0
A049,P02,1,P02,1,1
A050,P06,1,P03,2,0
A051,P08,8,unmatched,,0
A052,P01,2,P07,3,0
A053,P07,1,P02,2,0
A054,P08,5,P08,5,1
A055,P05,1,P01,3,0
A056,P08,7,unmatched,,0
A057,P07,1,P04,3,0
A058,P06,1,P04,3,0
A059,unmatched,,unmatched,,1
A060,P04,1,P01,2,0
A061,P08,7,P03,6,0
A062,P01,4,P03,3,0
A063,P05,1,P04,2,0
A064,unmatched,,unmatched,,1
A065,P07,1,P02,2,0
A066,P03,2,P08,3,0
A067,P02,5,P07,4,0
A068,P04,1,P01,2,0
A069,P02,2,P02,2,1
A070,P06,1,P06,1,1
A071,P08,8,unmatched,,0
A072,P01,2,unmatched,,0
A073,P07,1,P02,2,0
A074,unmatched,,P08,5,0
A075,P05,1,P05,1,1
A076,P08,7,P03,6,0
A077,P02,2,P07,1,0
A078,P06,1,P03,2,0
A079,unmatched,,unmatched,,1
A080,P01,2,P01,2,1
A081,P08,7,unmatched,,0
A082,P01,4,P08,5,0
A083,P05,1,P05,1,1
A084,unmatched,,unmatched,,1
A085,P02,2,P02,2,1
A086,P08,3,P08,3,1
A087,P02,5,P05,1,0
A088,P04,1,P01,2,0
A089,P02,2,P07,1,0
A090,P06,1,P08,3,0
A091,P05,1,P05,1,1
A092,P01,2,P08,8,0
A093,P02,1,P02,1,1
A094,unmatched,,P08,5,0
A095,P05,1,P04,2,0
A096,P04,1,P06,3,0
A097,unmatched,,P07,1,0
A098,P03,2,P03,2,1
A099,unmatched,,unmatched,,1
A100,P01,2,P01,2,1
A101,P07,1,P04,3,0
A102,unmatched,,P08,4,0
A103,P05,1,P05,1,1
A104,unmatched,,unmatched,,1
A105,P02,2,P07,1,0
A106,P06,1,P03,2,0
A107,unmatched,,P05,1,0
A108,P04,1,P01,2,0
A109,unmatched,,unmatched,,1
A110,P06,1,P03,2,0
A111,P05,1,P05,1,1
A112,unmatched,,unmatched,,1
A113,P07,1,P07,1,1
A114,unmatched,,unmatched,,1
A115,P03,7,P06,4,0
A116,P04,1,P06,3,0
A117,unmatched,,unmatched,,1
A118,P03,3,P01,4,0
A119,unmatched,,unmatched,,1
A120,P01,2,P04,1,0
