vacancy_id,occupation,market,wage_index,wage_transparent,recruiting_intensity,intensity_group,hiring_standard,interview_capacity,applications,applicant_quality_index,qualified_applicants,interviews,offers,hires,vacancy_filled,exploding_offer,offer_hold_days,vacancy_duration_days,interview_yield,offer_yield,vacancy_yield
V001,software_analyst,regional,0.52,1,0.39,low_recruiting_intensity,0.53,7,76,0.629,29,7,3,2,1,0,9,57,0.0921,0.4286,0.0263
V002,manufacturing_technician,rural,0.69,0,0.38,low_recruiting_intensity,0.64,10,73,0.701,29,10,4,2,1,0,10,69,0.137,0.4,0.0274
V003,public_service_caseworker,remote,0.86,0,0.4,low_recruiting_intensity,0.75,13,85,0.54,23,13,5,2,1,1,2,69,0.1529,0.3846,0.0235
V004,research_assistant,metro,0.49,1,0.6,middle_recruiting_intensity,0.86,16,125,0.615,35,16,6,4,1,0,8,60,0.128,0.375,0.032
V005,clinical_fellow,regional,0.66,1,0.67,middle_recruiting_intensity,0.54,6,66,0.563,23,6,3,2,1,1,2,52,0.0909,0.5,0.0303
V006,registered_nurse,rural,0.83,0,0.66,middle_recruiting_intensity,0.61,9,63,0.635,23,9,5,3,1,0,10,54,0.1429,0.5556,0.0476
V007,software_analyst,remote,0.46,0,0.68,middle_recruiting_intensity,0.72,12,74,0.645,25,12,5,2,1,0,11,66,0.1622,0.4167,0.027
V008,manufacturing_technician,metro,0.63,1,0.88,high_recruiting_intensity,0.83,17,116,0.548,29,17,9,6,1,1,2,55,0.1466,0.5294,0.0517
V009,public_service_caseworker,regional,0.8,1,0.34,low_recruiting_intensity,0.47,5,137,0.693,60,5,2,1,1,0,9,57,0.0365,0.4,0.0073
V010,research_assistant,rural,0.43,0,0.33,low_recruiting_intensity,0.58,8,44,0.433,11,8,2,1,1,1,2,74,0.1818,0.25,0.0227
V011,clinical_fellow,remote,0.6,0,0.35,low_recruiting_intensity,0.73,11,64,0.58,19,11,3,1,1,0,11,70,0.1719,0.2727,0.0156
V012,registered_nurse,metro,0.77,1,0.55,middle_recruiting_intensity,0.8,14,106,0.803,43,14,6,5,1,0,8,48,0.1321,0.4286,0.0472
V013,software_analyst,regional,0.4,1,0.62,middle_recruiting_intensity,0.44,4,126,0.478,41,4,2,1,1,1,2,60,0.0317,0.5,0.0079
V014,manufacturing_technician,rural,0.57,0,0.61,middle_recruiting_intensity,0.55,7,35,0.686,14,7,3,2,1,0,10,63,0.2,0.4286,0.0571
V015,public_service_caseworker,remote,0.74,0,0.63,middle_recruiting_intensity,0.66,10,47,0.525,13,10,5,2,1,1,2,63,0.2128,0.5,0.0426
V016,research_assistant,metro,0.37,1,0.83,high_recruiting_intensity,0.77,15,87,0.6,26,15,7,5,1,0,8,54,0.1724,0.4667,0.0575
V017,clinical_fellow,regional,0.54,1,0.9,high_recruiting_intensity,0.92,18,116,0.733,38,18,9,7,1,0,9,45,0.1552,0.5,0.0603
V018,registered_nurse,rural,0.71,0,0.28,low_recruiting_intensity,0.52,6,113,0.485,34,6,2,1,1,1,2,74,0.0531,0.3333,0.0088
V019,software_analyst,remote,0.88,0,0.3,low_recruiting_intensity,0.63,9,45,0.767,20,9,3,2,1,0,11,69,0.2,0.3333,0.0444
V020,manufacturing_technician,metro,0.51,1,0.5,middle_recruiting_intensity,0.74,12,78,0.533,21,12,4,2,1,1,2,66,0.1538,0.3333,0.0256
V021,public_service_caseworker,regional,0.68,1,0.57,middle_recruiting_intensity,0.85,15,99,0.678,32,15,6,4,1,0,9,59,0.1515,0.4,0.0404
V022,research_assistant,rural,0.85,0,0.56,middle_recruiting_intensity,0.49,5,103,0.74,48,5,3,2,1,0,10,50,0.0485,0.6,0.0194
