case_id,market,regime,prestige_pressure,candidate_risk,late_information_value,offer_day,deadline_days,information_complete,accepted_before_signal,match_quality_index,mobility_probability
T001,clinical_psychology_internships,decentralized_early_offers,0.39,0.39,0.25,21,2,0,0,0.613,0.225
T001,clinical_psychology_internships,coordinated_timing,0.39,0.39,0.25,57,8,1,0,0.733,0.485
T002,law_clerkships,decentralized_early_offers,0.48,0.53,0.3,24,1,0,1,0.522,0.11
T002,law_clerkships,coordinated_timing,0.48,0.53,0.3,59,9,1,0,0.742,0.49
T003,entry_level_professional_services,decentralized_early_offers,0.57,0.67,0.35,27,2,0,1,0.531,0.115
T003,entry_level_professional_services,coordinated_timing,0.57,0.67,0.35,61,10,1,0,0.751,0.495
T004,gastroenterology_like_fellowships,decentralized_early_offers,0.66,0.81,0.4,30,1,0,1,0.54,0.12
T004,gastroenterology_like_fellowships,coordinated_timing,0.66,0.81,0.4,63,7,1,0,0.76,0.5
T005,clinical_psychology_internships,decentralized_early_offers,0.75,0.37,0.45,33,2,0,1,0.639,0.125
T005,clinical_psychology_internships,coordinated_timing,0.75,0.37,0.45,65,8,1,0,0.859,0.505
T006,law_clerkships,decentralized_early_offers,0.84,0.51,0.5,18,1,0,1,0.648,0.13
T006,law_clerkships,coordinated_timing,0.84,0.51,0.5,67,9,1,0,0.868,0.51
T007,entry_level_professional_services,decentralized_early_offers,0.33,0.65,0.55,21,2,0,0,0.637,0.255
T007,entry_level_professional_services,coordinated_timing,0.33,0.65,0.55,69,10,1,0,0.757,0.515
T008,gastroenterology_like_fellowships,decentralized_early_offers,0.42,0.79,0.6,24,1,0,1,0.546,0.14
T008,gastroenterology_like_fellowships,coordinated_timing,0.42,0.79,0.6,55,7,1,0,0.766,0.52
T009,clinical_psychology_internships,decentralized_early_offers,0.51,0.35,0.65,27,2,0,0,0.655,0.265
T009,clinical_psychology_internships,coordinated_timing,0.51,0.35,0.65,57,8,1,0,0.775,0.525
T010,law_clerkships,decentralized_early_offers,0.6,0.49,0.7,30,1,0,1,0.654,0.15
T010,law_clerkships,coordinated_timing,0.6,0.49,0.7,59,9,1,0,0.874,0.53
T011,entry_level_professional_services,decentralized_early_offers,0.69,0.63,0.75,33,2,0,1,0.663,0.155
T011,entry_level_professional_services,coordinated_timing,0.69,0.63,0.75,61,10,1,0,0.883,0.535
T012,gastroenterology_like_fellowships,decentralized_early_offers,0.78,0.77,0.8,18,1,0,1,0.672,0.16
T012,gastroenterology_like_fellowships,coordinated_timing,0.78,0.77,0.8,63,7,1,0,0.892,0.54
T013,clinical_psychology_internships,decentralized_early_offers,0.87,0.33,0.85,21,2,0,1,0.681,0.165
T013,clinical_psychology_internships,coordinated_timing,0.87,0.33,0.85,65,8,1,0,0.901,0.545
T014,law_clerkships,decentralized_early_offers,0.36,0.47,0.24,24,1,0,0,0.615,0.224
T014,law_clerkships,coordinated_timing,0.36,0.47,0.24,67,9,1,0,0.735,0.484
T015,entry_level_professional_services,decentralized_early_offers,0.45,0.61,0.29,27,2,0,1,0.524,0.109
T015,entry_level_professional_services,coordinated_timing,0.45,0.61,0.29,69,10,1,0,0.744,0.489
T016,gastroenterology_like_fellowships,decentralized_early_offers,0.54,0.75,0.34,30,1,0,1,0.533,0.114
T016,gastroenterology_like_fellowships,coordinated_timing,0.54,0.75,0.34,55,7,1,0,0.753,0.494
T017,clinical_psychology_internships,decentralized_early_offers,0.63,0.31,0.39,33,2,0,0,0.642,0.239
T017,clinical_psychology_internships,coordinated_timing,0.63,0.31,0.39,57,8,1,0,0.762,0.499
T018,law_clerkships,decentralized_early_offers,0.72,0.45,0.44,18,1,0,1,0.551,0.124
T018,law_clerkships,coordinated_timing,0.72,0.45,0.44,59,9,1,0,0.771,0.504
T019,entry_level_professional_services,decentralized_early_offers,0.81,0.59,0.49,21,2,0,1,0.65,0.129
T019,entry_level_professional_services,coordinated_timing,0.81,0.59,0.49,61,10,1,0,0.87,0.509
T020,gastroenterology_like_fellowships,decentralized_early_offers,0.3,0.73,0.54,24,1,0,1,0.539,0.134
T020,gastroenterology_like_fellowships,coordinated_timing,0.3,0.73,0.54,63,7,1,0,0.759,0.514
T021,clinical_psychology_internships,decentralized_early_offers,0.39,0.29,0.59,27,2,0,0,0.648,0.259
T021,clinical_psychology_internships,coordinated_timing,0.39,0.29,0.59,65,8,1,0,0.768,0.519
T022,law_clerkships,decentralized_early_offers,0.48,0.43,0.64,30,1,0,0,0.657,0.264
T022,law_clerkships,coordinated_timing,0.48,0.43,0.64,67,9,1,0,0.777,0.524
T023,entry_level_professional_services,decentralized_early_offers,0.57,0.57,0.69,33,2,0,1,0.656,0.149
T023,entry_level_professional_services,coordinated_timing,0.57,0.57,0.69,69,10,1,0,0.876,0.529
T024,gastroenterology_like_fellowships,decentralized_early_offers,0.66,0.71,0.74,18,1,0,1,0.665,0.154
T024,gastroenterology_like_fellowships,coordinated_timing,0.66,0.71,0.74,55,7,1,0,0.885,0.534
T025,clinical_psychology_internships,decentralized_early_offers,0.75,0.27,0.79,21,2,0,1,0.674,0.159
T025,clinical_psychology_internships,coordinated_timing,0.75,0.27,0.79,57,8,1,0,0.894,0.539
T026,law_clerkships,decentralized_early_offers,0.84,0.41,0.84,24,1,0,1,0.683,0.164
T026,law_clerkships,coordinated_timing,0.84,0.41,0.84,59,9,1,0,0.903,0.544
T027,entry_level_professional_services,decentralized_early_offers,0.33,0.55,0.23,27,2,0,0,0.527,0.223
T027,entry_level_professional_services,coordinated_timing,0.33,0.55,0.23,61,10,1,0,0.647,0.483
T028,gastroenterology_like_fellowships,decentralized_early_offers,0.42,0.69,0.28,30,1,0,1,0.526,0.108
T028,gastroenterology_like_fellowships,coordinated_timing,0.42,0.69,0.28,63,7,1,0,0.746,0.488
T029,clinical_psychology_internships,decentralized_early_offers,0.51,0.25,0.33,33,2,0,0,0.635,0.233
T029,clinical_psychology_internships,coordinated_timing,0.51,0.25,0.33,65,8,1,0,0.755,0.493
T030,law_clerkships,decentralized_early_offers,0.6,0.39,0.38,18,1,0,0,0.644,0.238
T030,law_clerkships,coordinated_timing,0.6,0.39,0.38,67,9,1,0,0.764,0.498
T031,entry_level_professional_services,decentralized_early_offers,0.69,0.53,0.43,21,2,0,1,0.553,0.123
T031,entry_level_professional_services,coordinated_timing,0.69,0.53,0.43,69,10,1,0,0.773,0.503
T032,gastroenterology_like_fellowships,decentralized_early_offers,0.78,0.67,0.48,24,1,0,1,0.652,0.128
T032,gastroenterology_like_fellowships,coordinated_timing,0.78,0.67,0.48,55,7,1,0,0.872,0.508
T033,clinical_psychology_internships,decentralized_early_offers,0.87,0.81,0.53,27,2,0,1,0.661,0.133
T033,clinical_psychology_internships,coordinated_timing,0.87,0.81,0.53,57,8,1,0,0.881,0.513
T034,law_clerkships,decentralized_early_offers,0.36,0.37,0.58,30,1,0,0,0.65,0.258
T034,law_clerkships,coordinated_timing,0.36,0.37,0.58,59,9,1,0,0.77,0.518
T035,entry_level_professional_services,decentralized_early_offers,0.45,0.51,0.63,33,2,0,0,0.659,0.263
T035,entry_level_professional_services,coordinated_timing,0.45,0.51,0.63,61,10,1,0,0.779,0.523
T036,gastroenterology_like_fellowships,decentralized_early_offers,0.54,0.65,0.68,18,1,0,1,0.568,0.148
T036,gastroenterology_like_fellowships,coordinated_timing,0.54,0.65,0.68,63,7,1,0,0.788,0.528
T037,clinical_psychology_internships,decentralized_early_offers,0.63,0.79,0.73,21,2,0,1,0.667,0.153
T037,clinical_psychology_internships,coordinated_timing,0.63,0.79,0.73,65,8,1,0,0.887,0.533
T038,law_clerkships,decentralized_early_offers,0.72,0.35,0.78,24,1,0,1,0.676,0.158
T038,law_clerkships,coordinated_timing,0.72,0.35,0.78,67,9,1,0,0.896,0.538
T039,entry_level_professional_services,decentralized_early_offers,0.81,0.49,0.83,27,2,0,1,0.685,0.163
T039,entry_level_professional_services,coordinated_timing,0.81,0.49,0.83,69,10,1,0,0.905,0.543
T040,gastroenterology_like_fellowships,decentralized_early_offers,0.3,0.63,0.22,30,1,0,0,0.528,0.222
T040,gastroenterology_like_fellowships,coordinated_timing,0.3,0.63,0.22,55,7,1,0,0.648,0.482
T041,clinical_psychology_internships,decentralized_early_offers,0.39,0.77,0.27,33,2,0,1,0.527,0.107
T041,clinical_psychology_internships,coordinated_timing,0.39,0.77,0.27,57,8,1,0,0.747,0.487
T042,law_clerkships,decentralized_early_offers,0.48,0.33,0.32,18,1,0,0,0.636,0.232
T042,law_clerkships,coordinated_timing,0.48,0.33,0.32,59,9,1,0,0.756,0.492
T043,entry_level_professional_services,decentralized_early_offers,0.57,0.47,0.37,21,2,0,1,0.545,0.117
T043,entry_level_professional_services,coordinated_timing,0.57,0.47,0.37,61,10,1,0,0.765,0.497
T044,gastroenterology_like_fellowships,decentralized_early_offers,0.66,0.61,0.42,24,1,0,1,0.554,0.122
T044,gastroenterology_like_fellowships,coordinated_timing,0.66,0.61,0.42,63,7,1,0,0.774,0.502
T045,clinical_psychology_internships,decentralized_early_offers,0.75,0.75,0.47,27,2,0,1,0.563,0.127
T045,clinical_psychology_internships,coordinated_timing,0.75,0.75,0.47,65,8,1,0,0.783,0.507
T046,law_clerkships,decentralized_early_offers,0.84,0.31,0.52,30,1,0,1,0.662,0.132
T046,law_clerkships,coordinated_timing,0.84,0.31,0.52,67,9,1,0,0.882,0.512
T047,entry_level_professional_services,decentralized_early_offers,0.33,0.45,0.57,33,2,0,0,0.651,0.257
T047,entry_level_professional_services,coordinated_timing,0.33,0.45,0.57,69,10,1,0,0.771,0.517
T048,gastroenterology_like_fellowships,decentralized_early_offers,0.42,0.59,0.62,18,1,0,1,0.56,0.142
T048,gastroenterology_like_fellowships,coordinated_timing,0.42,0.59,0.62,55,7,1,0,0.78,0.522
T049,clinical_psychology_internships,decentralized_early_offers,0.51,0.73,0.67,21,2,0,1,0.569,0.147
T049,clinical_psychology_internships,coordinated_timing,0.51,0.73,0.67,57,8,1,0,0.789,0.527
T050,law_clerkships,decentralized_early_offers,0.6,0.29,0.72,24,1,0,0,0.768,0.272
T050,law_clerkships,coordinated_timing,0.6,0.29,0.72,59,9,1,0,0.888,0.532
T051,entry_level_professional_services,decentralized_early_offers,0.69,0.43,0.77,27,2,0,1,0.677,0.157
T051,entry_level_professional_services,coordinated_timing,0.69,0.43,0.77,61,10,1,0,0.897,0.537
T052,gastroenterology_like_fellowships,decentralized_early_offers,0.78,0.57,0.82,30,1,0,1,0.686,0.162
T052,gastroenterology_like_fellowships,coordinated_timing,0.78,0.57,0.82,63,7,1,0,0.906,0.542
T053,clinical_psychology_internships,decentralized_early_offers,0.87,0.71,0.21,33,2,0,1,0.55,0.101
T053,clinical_psychology_internships,coordinated_timing,0.87,0.71,0.21,65,8,1,0,0.77,0.481
T054,law_clerkships,decentralized_early_offers,0.36,0.27,0.26,18,1,0,0,0.539,0.226
T054,law_clerkships,coordinated_timing,0.36,0.27,0.26,67,9,1,0,0.659,0.486
T055,entry_level_professional_services,decentralized_early_offers,0.45,0.41,0.31,21,2,0,0,0.638,0.231
T055,entry_level_professional_services,coordinated_timing,0.45,0.41,0.31,69,10,1,0,0.758,0.491
T056,gastroenterology_like_fellowships,decentralized_early_offers,0.54,0.55,0.36,24,1,0,1,0.547,0.116
T056,gastroenterology_like_fellowships,coordinated_timing,0.54,0.55,0.36,55,7,1,0,0.767,0.496
T057,clinical_psychology_internships,decentralized_early_offers,0.63,0.69,0.41,27,2,0,1,0.556,0.121
T057,clinical_psychology_internships,coordinated_timing,0.63,0.69,0.41,57,8,1,0,0.776,0.501
T058,law_clerkships,decentralized_early_offers,0.72,0.25,0.46,30,1,0,0,0.665,0.246
T058,law_clerkships,coordinated_timing,0.72,0.25,0.46,59,9,1,0,0.785,0.506
T059,entry_level_professional_services,decentralized_early_offers,0.81,0.39,0.51,33,2,0,1,0.664,0.131
T059,entry_level_professional_services,coordinated_timing,0.81,0.39,0.51,61,10,1,0,0.884,0.511
T060,gastroenterology_like_fellowships,decentralized_early_offers,0.3,0.53,0.56,18,1,0,0,0.653,0.256
T060,gastroenterology_like_fellowships,coordinated_timing,0.3,0.53,0.56,63,7,1,0,0.773,0.516
T061,clinical_psychology_internships,decentralized_early_offers,0.39,0.67,0.61,21,2,0,1,0.562,0.141
T061,clinical_psychology_internships,coordinated_timing,0.39,0.67,0.61,65,8,1,0,0.782,0.521
T062,law_clerkships,decentralized_early_offers,0.48,0.81,0.66,24,1,0,1,0.571,0.146
T062,law_clerkships,coordinated_timing,0.48,0.81,0.66,67,9,1,0,0.791,0.526
T063,entry_level_professional_services,decentralized_early_offers,0.57,0.37,0.71,27,2,0,0,0.68,0.271
T063,entry_level_professional_services,coordinated_timing,0.57,0.37,0.71,69,10,1,0,0.8,0.531
T064,gastroenterology_like_fellowships,decentralized_early_offers,0.66,0.51,0.76,30,1,0,1,0.679,0.156
