worker_id,period,contract,worker_status,ability_index,commitment_index,risk_tolerance_index,retained_into_performance_pay,hours_worked,output_units,quality_score,measured_task_share,pay,entry_source
W001,hourly_baseline,hourly_pay,baseline_incumbent,0.6,0.45,0.47,1,7.7,70.69,0.816,0.61,162.87,incumbent
W001,performance_pay,piece_rate,continuing_incumbent,0.6,0.45,0.47,1,7.98,84.298,0.763,0.759,222.53,incumbent
W002,hourly_baseline,hourly_pay,baseline_incumbent,0.77,0.56,0.66,1,7.2,74.56,0.821,0.54,153.82,incumbent
W002,performance_pay,piece_rate,continuing_incumbent,0.77,0.56,0.66,1,7.5,89.894,0.794,0.696,222.22,incumbent
W003,hourly_baseline,hourly_pay,baseline_incumbent,0.94,0.67,0.85,1,7.7,78.43,0.896,0.67,164.27,incumbent
W003,performance_pay,piece_rate,continuing_incumbent,0.94,0.67,0.85,1,8.03,95.49,0.846,0.834,236.91,incumbent
W004,hourly_baseline,hourly_pay,baseline_incumbent,0.58,0.78,0.46,0,7.2,66.02,0.806,0.6,152.28,incumbent
W005,hourly_baseline,hourly_pay,baseline_incumbent,0.75,0.89,0.65,1,7.7,78.89,0.881,0.53,164.35,incumbent
W005,performance_pay,piece_rate,continuing_incumbent,0.75,0.89,0.65,1,8.08,95.148,0.859,0.686,237.22,incumbent
W006,hourly_baseline,hourly_pay,baseline_incumbent,0.92,0.39,0.84,1,7.2,79.1,0.861,0.66,154.64,incumbent
W006,performance_pay,piece_rate,continuing_incumbent,0.92,0.39,0.84,1,7.47,95.132,0.807,0.824,228.05,incumbent
W007,hourly_baseline,hourly_pay,baseline_incumbent,0.56,0.5,0.45,1,7.7,66.69,0.841,0.59,162.15,incumbent
W007,performance_pay,piece_rate,continuing_incumbent,0.56,0.5,0.45,1,7.99,80.194,0.813,0.738,217.69,incumbent
W008,hourly_baseline,hourly_pay,baseline_incumbent,0.73,0.61,0.64,1,7.2,70.56,0.846,0.52,153.1,incumbent
W008,performance_pay,piece_rate,continuing_incumbent,0.73,0.61,0.64,1,7.51,85.79,0.82,0.676,217.38,incumbent
W009,hourly_baseline,hourly_pay,baseline_incumbent,0.9,0.72,0.83,1,7.7,74.43,0.851,0.65,163.55,incumbent
W009,performance_pay,piece_rate,continuing_incumbent,0.9,0.72,0.83,1,8.04,91.386,0.802,0.813,232.07,incumbent
W010,hourly_baseline,hourly_pay,baseline_incumbent,0.54,0.83,0.44,1,7.2,71.02,0.83,0.58,153.18,incumbent
W010,performance_pay,piece_rate,continuing_incumbent,0.54,0.83,0.44,1,7.56,85.448,0.808,0.728,217.69,incumbent
W011,hourly_baseline,hourly_pay,baseline_incumbent,0.71,0.94,0.63,1,7.7,74.89,0.835,0.51,163.63,incumbent
