case_id,evaluator_known,ability_index,public_service_motivation,evaluator_favorability,influence_activity_index,objective_output_index,subjective_rating,promotion_probability
S001,0,0.57,0.39,0.36,0.181,79.743,95.622,0.756
S002,1,0.74,0.46,0.47,0.383,85.838,101.703,0.967
S003,0,0.91,0.53,0.58,0.205,86.972,99.01,0.79
S004,1,0.53,0.6,0.69,0.407,79.867,100.289,0.953
S005,0,0.7,0.67,0.8,0.229,89.002,100.421,0.804
S006,1,0.87,0.74,0.26,0.339,87.825,95.548,0.905
S007,0,0.49,0.81,0.37,0.161,83.76,91.269,0.713
S008,1,0.66,0.88,0.48,0.363,81.854,101.133,0.961
S009,0,0.83,0.35,0.59,0.215,85.349,99.513,0.795
S010,1,0.45,0.42,0.7,0.417,78.244,100.886,0.959
S011,0,0.62,0.49,0.81,0.239,79.379,97.884,0.779
S012,1,0.79,0.56,0.27,0.35,86.202,96.145,0.911
S013,0,0.41,0.63,0.38,0.172,82.136,91.772,0.718
S014,1,0.58,0.7,0.49,0.374,80.231,94.73,0.897
S015,0,0.75,0.77,0.6,0.196,89.366,102.159,0.822
S016,1,0.92,0.84,0.71,0.397,87.461,105.332,1.0
S017,0,0.54,0.91,0.82,0.219,83.396,100.53,0.805
S018,1,0.71,0.38,0.28,0.36,84.578,96.742,0.917
S019,0,0.88,0.45,0.39,0.182,85.713,94.251,0.743
S020,1,0.5,0.52,0.5,0.384,78.608,95.327,0.903
S021,0,0.67,0.59,0.61,0.206,87.743,95.662,0.757
S022,1,0.84,0.66,0.72,0.408,85.838,105.928,1.0
S023,0,0.46,0.73,0.83,0.23,81.772,101.034,0.81
S024,1,0.63,0.8,0.29,0.341,80.595,96.172,0.912
S025,0,0.8,0.87,0.4,0.163,89.73,96.897,0.769
S026,1,0.42,0.34,0.51,0.394,76.985,95.924,0.909
S027,0,0.59,0.41,0.62,0.216,78.12,93.125,0.731
S028,1,0.76,0.48,0.73,0.418,84.214,99.525,0.945
S029,0,0.93,0.55,0.84,0.24,93.349,106.553,0.866
S030,1,0.55,0.62,0.3,0.351,78.972,96.768,0.918
S031,0,0.72,0.69,0.41,0.173,88.107,97.401,0.774
S032,1,0.89,0.76,0.52,0.375,86.202,100.37,0.954
S033,0,0.51,0.83,0.63,0.197,82.136,95.772,0.758
S034,1,0.68,0.9,0.74,0.399,88.231,101.995,0.97
S035,0,0.85,0.37,0.85,0.251,83.726,97.016,0.77
S036,1,0.47,0.44,0.31,0.361,77.349,97.365,0.924
S037,0,0.64,0.51,0.42,0.183,86.484,97.904,0.779
S038,1,0.81,0.58,0.53,0.385,84.578,100.967,0.96
S039,0,0.43,0.65,0.64,0.207,80.513,96.275,0.763
S040,1,0.6,0.72,0.75,0.409,78.608,99.552,0.946
S041,0,0.77,0.79,0.86,0.231,87.743,99.662,0.797
S042,1,0.94,0.86,0.32,0.342,94.566,97.851,0.929
S043,0,0.56,0.33,0.43,0.194,76.86,95.367,0.754
S044,1,0.73,0.4,0.54,0.396,82.955,101.563,0.966
S045,0,0.9,0.47,0.65,0.218,92.09,101.794,0.818
S046,1,0.52,0.54,0.76,0.419,76.985,100.149,0.951
S047,0,0.69,0.61,0.87,0.241,86.12,100.165,0.802
S048,1,0.86,0.68,0.33,0.352,84.942,95.408,0.904
S049,0,0.48,0.75,0.44,0.174,80.877,91.013,0.71
S050,1,0.65,0.82,0.55,0.376,86.972,104.033,0.99
S051,0,0.82,0.89,0.66,0.198,88.107,101.401,0.814
S052,1,0.44,0.36,0.77,0.43,75.362,100.746,0.957
S053,0,0.61,0.43,0.88,0.252,84.496,100.669,0.807
S054,1,0.78,0.5,0.34,0.363,83.319,96.005,0.91
S055,0,0.4,0.57,0.45,0.185,79.254,91.517,0.715
S056,1,0.57,0.64,0.56,0.386,77.349,94.59,0.896
S057,0,0.74,0.71,0.67,0.208,86.484,101.904,0.819
S058,1,0.91,0.78,0.78,0.41,92.578,108.232,1.0
S059,0,0.53,0.85,0.89,0.232,80.513,100.275,0.803
S060,1,0.7,0.32,0.35,0.373,81.696,96.601,0.916
S061,0,0.87,0.39,0.46,0.195,90.831,97.036,0.77
S062,1,0.49,0.46,0.57,0.397,75.726,95.187,0.902
S063,0,0.66,0.53,0.68,0.219,84.86,95.407,0.754
S064,1,0.83,0.6,0.79,0.421,82.955,105.788,1.0
S065,0,0.45,0.67,0.25,0.152,79.618,93.255,0.733
S066,1,0.62,0.74,0.36,0.353,85.713,99.071,0.941
S067,0,0.79,0.81,0.47,0.175,86.848,96.642,0.766
S068,1,0.41,0.88,0.58,0.377,79.742,97.657,0.927
S069,0,0.58,0.35,0.69,0.229,83.237,95.91,0.759
S070,1,0.75,0.42,0.8,0.431,81.332,99.385,0.944
S071,0,0.92,0.49,0.26,0.162,91.195,98.774,0.788
S072,1,0.54,0.56,0.37,0.364,76.09,96.628,0.916
S073,0,0.71,0.63,0.48,0.186,85.224,97.145,0.771
S074,1,0.88,0.7,0.59,0.388,91.319,103.27,0.983
S075,0,0.5,0.77,0.7,0.21,79.254,95.517,0.755
S076,1,0.67,0.84,0.81,0.411,85.349,101.855,0.969
S077,0,0.84,0.91,0.27,0.142,95.212,94.42,0.744
S078,1,0.46,0.38,0.38,0.374,74.466,97.225,0.922
S079,0,0.63,0.45,0.49,0.196,83.601,97.648,0.776
S080,1,0.8,0.52,0.6,0.398,81.696,100.826,0.958
