job_id,platform_guarantee,worker_quality_index,price_bid,platform_fee_rate,buyer_trust_index,assignment_probability,assigned,worker_net_wage,dispute_risk_index
G001,0,0.58,25.9,0.18,0.509,0.263,0,21.24,0.29
G002,1,0.81,34.05,0.22,0.804,0.392,0,26.56,0.163
G003,0,0.46,21.3,0.18,0.49,0.261,0,17.47,0.305
G004,1,0.69,29.45,0.22,0.786,0.389,1,22.97,0.177
G005,0,0.92,37.6,0.18,0.611,0.301,0,30.83,0.25
G006,1,0.57,24.85,0.22,0.767,0.386,0,19.38,0.192
G007,0,0.8,33.0,0.18,0.592,0.298,0,27.06,0.264
G008,1,0.45,20.25,0.22,0.748,0.384,0,15.79,0.206
G009,0,0.68,28.4,0.18,0.483,0.254,0,23.29,0.278
G010,1,0.91,36.55,0.22,0.868,0.424,0,28.51,0.151
G011,0,0.56,23.8,0.18,0.464,0.252,0,19.52,0.293
G012,1,0.79,31.95,0.22,0.85,0.421,1,24.92,0.165
G013,0,0.44,19.2,0.18,0.446,0.249,0,15.74,0.307
G014,1,0.67,27.35,0.22,0.831,0.419,1,21.33,0.18
G015,0,0.9,35.5,0.18,0.566,0.289,0,29.11,0.252
G016,1,0.55,22.75,0.22,0.812,0.416,0,17.75,0.194
G017,0,0.78,30.9,0.18,0.547,0.287,0,25.34,0.266
G018,1,0.43,18.15,0.22,0.703,0.372,0,14.16,0.208
G019,0,0.66,26.3,0.18,0.528,0.284,0,21.57,0.281
G020,1,0.89,34.45,0.22,0.824,0.412,0,26.87,0.153
G021,0,0.54,21.7,0.18,0.51,0.281,0,17.79,0.295
G022,1,0.77,29.85,0.22,0.805,0.41,0,23.28,0.168
G023,0,0.42,35.1,0.18,0.491,0.171,0,28.78,0.31
G024,1,0.65,25.25,0.22,0.786,0.407,1,19.7,0.182
G025,0,0.88,33.4,0.18,0.611,0.319,0,27.39,0.254
G026,1,0.53,20.65,0.22,0.767,0.404,0,16.11,0.196
G027,0,0.76,28.8,0.18,0.502,0.275,0,23.62,0.269
G028,1,0.41,34.05,0.22,0.748,0.294,0,26.56,0.211
G029,0,0.64,24.2,0.18,0.484,0.272,0,19.84,0.283
G030,1,0.87,32.35,0.22,0.869,0.442,0,25.23,0.156
G031,0,0.52,19.6,0.18,0.465,0.27,0,16.07,0.298
G032,1,0.75,27.75,0.22,0.85,0.44,1,21.64,0.17
G033,0,0.4,33.0,0.18,0.446,0.159,0,27.06,0.312
G034,1,0.63,23.15,0.22,0.831,0.437,1,18.06,0.184
G035,0,0.86,31.3,0.18,0.566,0.308,0,25.67,0.257
G036,1,0.51,18.55,0.22,0.722,0.393,0,14.47,0.199
G037,0,0.74,26.7,0.18,0.548,0.305,0,21.89,0.271
G038,1,0.39,31.95,0.22,0.704,0.282,0,24.92,0.213
G039,0,0.62,22.1,0.18,0.529,0.302,0,18.12,0.286
G040,1,0.85,30.25,0.22,0.824,0.431,0,23.6,0.158
G041,0,0.5,35.5,0.18,0.51,0.192,0,29.11,0.3
G042,1,0.73,25.65,0.22,0.805,0.428,1,20.01,0.172
G043,0,0.38,30.9,0.18,0.491,0.189,0,25.34,0.314
G044,1,0.61,21.05,0.22,0.786,0.425,1,16.42,0.187
G045,0,0.84,29.2,0.18,0.522,0.296,0,23.94,0.259
G046,1,0.49,34.45,0.22,0.768,0.315,0,26.87,0.201
G047,0,0.72,24.6,0.18,0.503,0.293,0,20.17,0.274
G048,1,0.37,29.85,0.22,0.749,0.312,0,23.28,0.216
G049,0,0.6,20.0,0.18,0.484,0.291,0,16.4,0.288
G050,1,0.83,28.15,0.22,0.869,0.46,1,21.96,0.16
G051,0,0.48,33.4,0.18,0.465,0.18,0,27.39,0.302
G052,1,0.71,23.55,0.22,0.85,0.458,1,18.37,0.175
G053,0,0.36,28.8,0.18,0.446,0.177,0,23.62,0.317
G054,1,0.59,18.95,0.22,0.742,0.414,1,14.78,0.189
G055,0,0.82,27.1,0.18,0.567,0.326,0,22.22,0.262
G056,1,0.47,32.35,0.22,0.723,0.303,0,25.23,0.204
G057,0,0.7,22.5,0.18,0.548,0.323,0,18.45,0.276
G058,1,0.35,27.75,0.22,0.704,0.3,0,21.64,0.218
G059,0,0.58,35.9,0.18,0.529,0.212,0,29.44,0.29
G060,1,0.81,26.05,0.22,0.824,0.449,0,20.32,0.163
G061,0,0.46,31.3,0.18,0.51,0.21,0,25.67,0.305
G062,1,0.69,21.45,0.22,0.806,0.446,1,16.73,0.177
G063,0,0.92,29.6,0.18,0.541,0.317,0,24.27,0.25
G064,1,0.57,34.85,0.22,0.787,0.335,0,27.18,0.192
G065,0,0.8,25.0,0.18,0.522,0.314,0,20.5,0.264
G066,1,0.45,30.25,0.22,0.768,0.333,0,23.6,0.206
G067,0,0.68,20.4,0.18,0.503,0.311,0,16.73,0.278
G068,1,0.91,28.55,0.22,0.888,0.481,1,22.27,0.151
G069,0,0.56,33.8,0.18,0.484,0.201,0,27.72,0.293
G070,1,0.79,23.95,0.22,0.87,0.479,1,18.68,0.165
G071,0,0.44,29.2,0.18,0.466,0.198,0,23.94,0.307
G072,1,0.67,19.35,0.22,0.761,0.434,1,15.09,0.18
G073,0,0.9,27.5,0.18,0.586,0.347,0,22.55,0.252
G074,1,0.55,32.75,0.22,0.742,0.324,0,25.55,0.194
G075,0,0.78,22.9,0.18,0.567,0.344,0,18.78,0.266
G076,1,0.43,28.15,0.22,0.723,0.321,0,21.96,0.208
G077,0,0.66,36.3,0.18,0.548,0.233,0,29.77,0.281
G078,1,0.89,26.45,0.22,0.844,0.47,1,20.63,0.153
G079,0,0.54,31.7,0.18,0.53,0.231,0,25.99,0.295
G080,1,0.77,21.85,0.22,0.825,0.467,1,17.04,0.168
G081,0,0.42,27.1,0.18,0.421,0.187,0,22.22,0.31
G082,1,0.65,35.25,0.22,0.806,0.356,0,27.5,0.182
G083,0,0.88,25.4,0.18,0.541,0.335,0,20.83,0.254
G084,1,0.53,30.65,0.22,0.787,0.354,0,23.91,0.196
G085,0,0.76,20.8,0.18,0.522,0.332,0,17.06,0.269
G086,1,0.41,26.05,0.22,0.768,0.351,0,20.32,0.211
G087,0,0.64,34.2,0.18,0.504,0.222,0,28.04,0.283
G088,1,0.87,24.35,0.22,0.889,0.499,1,18.99,0.156
G089,0,0.52,29.6,0.18,0.485,0.219,0,24.27,0.298
G090,1,0.75,19.75,0.22,0.78,0.455,0,15.41,0.17
G091,0,0.4,25.0,0.18,0.466,0.216,0,20.5,0.312
G092,1,0.63,33.15,0.22,0.761,0.345,0,25.86,0.184
G093,0,0.86,23.3,0.18,0.586,0.365,0,19.11,0.257
G094,1,0.51,28.55,0.22,0.742,0.342,0,22.27,0.199
G095,0,0.74,36.7,0.18,0.568,0.254,0,30.09,0.271
G096,1,0.39,23.95,0.22,0.724,0.339,0,18.68,0.213
