worker_id,experience_group,public_signal_treatment,baseline_reviews,quality_index,availability_index,outside_option_index,risk_tolerance_index,public_signal_score,ranking_position,visibility_score,employer_belief_index,employer_invitations,applications_sent,hire_probability,hired,accepted_hourly_wage,future_jobs,earnings_risk_index,flexibility_value_index
P001,inexperienced,1,6,0.53,0.41,0.31,0.44,0.642,52.06,0.369,0.587,5,8,0.382,0,21.7,0,0.617,0.452
P002,inexperienced,1,5,0.7,0.52,0.38,0.63,0.705,51.06,0.419,0.609,6,10,0.416,1,23.32,8,0.517,0.519
P003,inexperienced,0,4,0.87,0.63,0.45,0.82,0.749,57.06,0.282,0.573,4,9,0.393,1,22.37,6,0.648,0.585
P004,inexperienced,1,3,0.44,0.74,0.52,0.41,0.582,51.46,0.378,0.558,6,13,0.352,0,21.34,0,0.582,0.652
P005,inexperienced,1,2,0.61,0.85,0.59,0.6,0.646,50.46,0.428,0.58,6,9,0.386,1,22.61,8,0.482,0.718
P006,inexperienced,0,1,0.78,0.32,0.66,0.79,0.689,60.94,0.223,0.544,4,5,0.35,1,21.66,6,0.612,0.439
P007,inexperienced,1,6,0.95,0.43,0.73,0.38,0.852,43.94,0.494,0.667,6,9,0.463,1,25.24,9,0.447,0.505
P008,inexperienced,1,5,0.52,0.54,0.8,0.57,0.586,54.34,0.369,0.564,6,10,0.348,0,21.93,0,0.534,0.572
P009,inexperienced,0,4,0.69,0.65,0.29,0.76,0.63,60.34,0.232,0.528,4,11,0.354,0,20.98,0,0.741,0.58
P010,inexperienced,1,3,0.86,0.76,0.36,0.35,0.793,43.34,0.503,0.638,6,9,0.463,1,24.53,9,0.51,0.646
P011,inexperienced,1,2,0.43,0.87,0.43,0.54,0.607,53.74,0.378,0.565,5,11,0.358,0,20.93,0,0.597,0.713
P012,inexperienced,0,1,0.6,0.34,0.5,0.73,0.57,64.22,0.172,0.499,4,7,0.311,0,20.27,0,0.705,0.434
P013,inexperienced,1,6,0.77,0.45,0.57,0.32,0.734,47.22,0.444,0.622,6,10,0.424,1,23.85,8,0.485,0.5
P014,inexperienced,1,5,0.94,0.56,0.64,0.51,0.877,46.22,0.494,0.674,6,12,0.469,1,25.18,9,0.462,0.566
P015,inexperienced,0,4,0.51,0.67,0.71,0.7,0.511,63.62,0.181,0.483,3,6,0.286,0,19.24,0,0.669,0.633
P016,inexperienced,1,3,0.68,0.78,0.78,0.29,0.674,46.62,0.453,0.593,7,10,0.395,1,23.49,8,0.449,0.699
P017,inexperienced,1,2,0.85,0.89,0.27,0.48,0.818,45.62,0.503,0.645,6,12,0.468,1,24.47,9,0.525,0.708
P018,inexperienced,0,1,0.42,0.36,0.34,0.67,0.451,67.5,0.122,0.454,3,8,0.272,0,18.53,0,0.732,0.428
P019,inexperienced,1,6,0.59,0.47,0.41,0.26,0.694,50.5,0.393,0.607,5,12,0.395,1,22.17,7,0.523,0.495
P020,inexperienced,1,5,0.76,0.58,0.48,0.45,0.758,49.5,0.443,0.629,7,8,0.43,0,24.14,0,0.588,0.561
P021,inexperienced,0,4,0.93,0.69,0.55,0.64,0.722,55.5,0.306,0.563,5,8,0.397,0,23.13,0,0.697,0.628
P022,inexperienced,1,3,0.5,0.8,0.62,0.83,0.635,49.9,0.402,0.578,5,11,0.366,0,21.46,0,0.565,0.694
P023,inexperienced,1,2,0.67,0.91,0.69,0.42,0.699,48.9,0.452,0.6,6,13,0.4,1,23.08,8,0.465,0.76
