mechanism,officer_id,assigned_branch,preference_rank,top_three_assignment,priority_alignment_index,hard_to_staff_index,training_value_index,internal_mobility_value_index,predicted_retention_index,promotion_readiness_index,public_staffing_value_index,worker_welfare_index,transfer_risk_index,outside_option_index
deferred_acceptance,O001,Engineering,2,1,0.664,0.53,0.745,0.62,0.629,0.707,0.593,0.685,0.417,0.31
deferred_acceptance,O002,Engineering,1,1,0.82,0.53,0.799,0.732,0.715,0.798,0.651,0.775,0.371,0.38
deferred_acceptance,O003,Engineering,1,1,0.911,0.53,0.79,0.632,0.688,0.849,0.692,0.719,0.384,0.45
deferred_acceptance,O004,Infantry,5,0,0.616,0.7,0.636,0.435,0.602,0.662,0.699,0.522,0.566,0.52
deferred_acceptance,O005,Logistics,1,1,0.717,0.44,0.719,0.718,0.671,0.744,0.655,0.7,0.403,0.59
deferred_acceptance,O006,Logistics,1,1,0.871,0.44,0.771,0.627,0.643,0.822,0.598,0.707,0.416,0.66
deferred_acceptance,O007,Medical Service,1,1,0.813,0.38,0.749,0.673,0.605,0.723,0.583,0.671,0.431,0.73
deferred_acceptance,O008,Cyber,1,1,0.741,0.58,0.801,0.582,0.625,0.752,0.654,0.684,0.436,0.8
deferred_acceptance,O009,Cyber,1,1,0.76,0.58,0.786,0.686,0.673,0.793,0.678,0.727,0.367,0.29
deferred_acceptance,O010,Intelligence,1,1,0.775,0.49,0.823,0.739,0.717,0.731,0.671,0.764,0.368,0.36
deferred_acceptance,O011,Engineering,1,1,0.702,0.53,0.779,0.635,0.736,0.74,0.687,0.757,0.374,0.43
deferred_acceptance,O012,Engineering,1,1,0.793,0.53,0.769,0.682,0.639,0.785,0.615,0.717,0.398,0.5
deferred_acceptance,O013,Engineering,1,1,0.879,0.53,0.824,0.738,0.694,0.856,0.656,0.758,0.397,0.57
deferred_acceptance,O014,Medical Service,1,1,0.83,0.38,0.728,0.626,0.645,0.743,0.613,0.682,0.414,0.64
deferred_acceptance,O015,Medical Service,1,1,0.772,0.38,0.789,0.683,0.678,0.779,0.619,0.723,0.417,0.71
deferred_acceptance,O016,Logistics,1,1,0.833,0.44,0.709,0.573,0.646,0.808,0.673,0.652,0.43,0.78
deferred_acceptance,O017,Logistics,1,1,0.838,0.44,0.76,0.687,0.764,0.754,0.695,0.767,0.35,0.27
deferred_acceptance,O018,Infantry,5,0,0.598,0.7,0.562,0.483,0.533,0.668,0.632,0.492,0.556,0.34
deferred_acceptance,O019,Intelligence,1,1,0.817,0.49,0.831,0.647,0.68,0.823,0.633,0.745,0.38,0.41
deferred_acceptance,O020,Cyber,1,1,0.713,0.58,0.74,0.682,0.635,0.698,0.658,0.694,0.396,0.48
deferred_acceptance,O021,Cyber,1,1,0.866,0.58,0.788,0.737,0.7,0.785,0.715,0.735,0.394,0.55
deferred_acceptance,O022,Cyber,1,1,0.803,0.58,0.836,0.645,0.721,0.816,0.719,0.748,0.399,0.62
deferred_acceptance,O023,Medical Service,1,1,0.734,0.38,0.765,0.684,0.599,0.696,0.541,0.692,0.427,0.69
deferred_acceptance,O024,Intelligence,1,1,0.792,0.49,0.736,0.581,0.638,0.742,0.612,0.691,0.429,0.76
deferred_acceptance,O025,Infantry,3,1,0.669,0.7,0.685,0.568,0.623,0.735,0.674,0.629,0.45,0.25
deferred_acceptance,O026,Intelligence,1,1,0.825,0.49,0.787,0.743,0.731,0.838,0.66,0.776,0.362,0.32
deferred_acceptance,O027,Intelligence,1,1,0.769,0.49,0.781,0.644,0.682,0.741,0.666,0.718,0.378,0.39
