officer_id,performance_index,leadership_index,outside_option_index,mission_commitment_index,mobility_preference_index,service_commitment_interest,preference_1,preference_2,preference_3,preference_4,preference_5,preference_6
O001,0.53,0.53,0.31,0.41,0.51,0.54,Intelligence,Engineering,Logistics,Cyber,Medical Service,Infantry
O002,0.7,0.72,0.38,0.52,0.74,0.83,Engineering,Logistics,Cyber,Medical Service,Intelligence,Infantry
O003,0.87,0.91,0.45,0.63,0.36,0.48,Engineering,Logistics,Medical Service,Cyber,Intelligence,Infantry
O004,0.44,0.48,0.52,0.74,0.59,0.77,Logistics,Medical Service,Cyber,Intelligence,Infantry,Engineering
O005,0.61,0.67,0.59,0.85,0.82,0.42,Logistics,Medical Service,Cyber,Intelligence,Infantry,Engineering
O006,0.78,0.86,0.66,0.33,0.44,0.71,Logistics,Medical Service,Cyber,Intelligence,Infantry,Engineering
O007,0.95,0.43,0.73,0.44,0.67,0.36,Medical Service,Cyber,Intelligence,Infantry,Engineering,Logistics
O008,0.52,0.62,0.8,0.55,0.29,0.65,Cyber,Intelligence,Infantry,Engineering,Logistics,Medical Service
O009,0.69,0.81,0.29,0.66,0.52,0.3,Cyber,Intelligence,Engineering,Infantry,Logistics,Medical Service
O010,0.86,0.38,0.36,0.77,0.75,0.59,Intelligence,Cyber,Engineering,Infantry,Medical Service,Logistics
O011,0.43,0.57,0.43,0.88,0.37,0.88,Engineering,Infantry,Medical Service,Logistics,Intelligence,Cyber
O012,0.6,0.76,0.5,0.36,0.6,0.53,Engineering,Infantry,Medical Service,Logistics,Intelligence,Cyber
O013,0.77,0.95,0.57,0.47,0.83,0.82,Engineering,Infantry,Medical Service,Logistics,Intelligence,Cyber
O014,0.94,0.52,0.64,0.58,0.45,0.47,Medical Service,Infantry,Logistics,Intelligence,Cyber,Engineering
O015,0.51,0.71,0.71,0.69,0.68,0.76,Medical Service,Infantry,Logistics,Intelligence,Cyber,Engineering
O016,0.68,0.9,0.78,0.8,0.3,0.41,Logistics,Intelligence,Cyber,Engineering,Medical Service,Infantry
O017,0.85,0.47,0.27,0.91,0.53,0.7,Logistics,Intelligence,Cyber,Engineering,Medical Service,Infantry
O018,0.42,0.66,0.34,0.39,0.76,0.35,Intelligence,Cyber,Engineering,Medical Service,Infantry,Logistics
O019,0.59,0.85,0.41,0.5,0.38,0.64,Intelligence,Cyber,Engineering,Medical Service,Infantry,Logistics
O020,0.76,0.42,0.48,0.61,0.61,0.29,Cyber,Engineering,Medical Service,Infantry,Logistics,Intelligence
O021,0.93,0.61,0.55,0.72,0.84,0.58,Cyber,Engineering,Medical Service,Logistics,Infantry,Intelligence
O022,0.5,0.8,0.62,0.83,0.46,0.87,Cyber,Medical Service,Engineering,Logistics,Intelligence,Infantry
O023,0.67,0.37,0.69,0.31,0.69,0.52,Medical Service,Engineering,Cyber,Logistics,Intelligence,Infantry
O024,0.84,0.56,0.76,0.42,0.31,0.81,Intelligence,Logistics,Infantry,Medical Service,Engineering,Cyber
O025,0.41,0.75,0.25,0.53,0.54,0.46,Intelligence,Logistics,Infantry,Medical Service,Engineering,Cyber
O026,0.58,0.94,0.32,0.64,0.77,0.75,Intelligence,Logistics,Infantry,Medical Service,Engineering,Cyber
O027,0.75,0.51,0.39,0.75,0.39,0.4,Intelligence,Logistics,Infantry,Medical Service,Engineering,Cyber
O028,0.92,0.7,0.46,0.86,0.62,0.69,Logistics,Infantry,Medical Service,Engineering,Cyber,Intelligence
O029,0.49,0.89,0.53,0.34,0.85,0.34,Logistics,Infantry,Medical Service,Engineering,Cyber,Intelligence
O030,0.66,0.46,0.6,0.45,0.47,0.63,Medical Service,Infantry,Engineering,Cyber,Intelligence,Logistics
O031,0.83,0.65,0.67,0.56,0.7,0.28,Medical Service,Infantry,Engineering,Cyber,Intelligence,Logistics
O032,0.4,0.84,0.74,0.67,0.32,0.57,Engineering,Cyber,Intelligence,Logistics,Medical Service,Infantry
O033,0.57,0.41,0.81,0.78,0.55,0.86,Engineering,Cyber,Intelligence,Logistics,Medical Service,Infantry
O034,0.74,0.6,0.3,0.89,0.78,0.51,Cyber,Intelligence,Logistics,Medical Service,Infantry,Engineering
O035,0.91,0.79,0.37,0.37,0.4,0.8,Cyber,Intelligence,Logistics,Medical Service,Infantry,Engineering
O036,0.48,0.36,0.44,0.48,0.63,0.45,Intelligence,Cyber,Medical Service,Logistics,Engineering,Infantry
O037,0.65,0.55,0.51,0.59,0.86,0.74,Cyber,Medical Service,Logistics,Engineering,Infantry,Intelligence
O038,0.82,0.74,0.58,0.7,0.48,0.39,Medical Service,Logistics,Engineering,Infantry,Intelligence,Cyber
O039,0.39,0.93,0.65,0.81,0.71,0.68,Medical Service,Logistics,Engineering,Infantry,Intelligence,Cyber
O040,0.56,0.5,0.72,0.92,0.33,0.33,Logistics,Engineering,Infantry,Intelligence,Cyber,Medical Service
O041,0.73,0.69,0.79,0.4,0.56,0.62,Engineering,Infantry,Intelligence,Cyber,Medical Service,Logistics
O042,0.9,0.88,0.28,0.51,0.79,0.27,Engineering,Intelligence,Infantry,Cyber,Medical Service,Logistics
O043,0.47,0.45,0.35,0.62,0.41,0.56,Engineering,Intelligence,Infantry,Medical Service,Cyber,Logistics
O044,0.64,0.64,0.42,0.73,0.64,0.85,Intelligence,Infantry,Medical Service,Cyber,Logistics,Engineering
O045,0.81,0.83,0.49,0.84,0.87,0.5,Intelligence,Infantry,Medical Service,Cyber,Logistics,Engineering
O046,0.38,0.4,0.56,0.32,0.49,0.79,Medical Service,Infantry,Cyber,Logistics,Engineering,Intelligence
O047,0.55,0.59,0.63,0.43,0.72,0.44,Medical Service,Infantry,Cyber,Logistics,Engineering,Intelligence
O048,0.72,0.78,0.7,0.54,0.34,0.73,Cyber,Logistics,Engineering,Intelligence,Medical Service,Infantry
O049,0.89,0.35,0.77,0.65,0.57,0.38,Cyber,Logistics,Engineering,Intelligence,Medical Service,Infantry
O050,0.46,0.54,0.26,0.76,0.8,0.67,Cyber,Logistics,Engineering,Intelligence,Medical Service,Infantry
O051,0.63,0.73,0.33,0.87,0.42,0.32,Logistics,Engineering,Intelligence,Medical Service,Infantry,Cyber
O052,0.8,0.92,0.4,0.35,0.65,0.61,Logistics,Engineering,Intelligence,Medical Service,Infantry,Cyber
O053,0.37,0.49,0.47,0.46,0.88,0.26,Engineering,Intelligence,Medical Service,Infantry,Cyber,Logistics
O054,0.54,0.68,0.54,0.57,0.5,0.55,Intelligence,Medical Service,Infantry,Cyber,Logistics,Engineering
