teacher_id,assigned_school,preference_rank,hard_to_staff_index,student_need_index,subject_shortage,novice_teacher,mission_value_index,outside_option_index,entry_probability,retention_probability,service_output_index,exit_risk_index
T029,South Elementary,1,0.77,0.83,1,1,0.91,0.25,0.649,0.716,0.901,0.543
T005,Lakeside K8,2,0.6,0.7,1,1,0.83,0.23,0.637,0.692,0.851,0.535
T040,South Elementary,7,0.77,0.83,1,1,0.84,0.44,0.61,0.58,0.875,0.592
T017,South Elementary,3,0.77,0.83,1,1,0.87,0.55,0.6,0.68,0.89,0.569
T069,East Middle,2,0.71,0.78,1,0,0.83,0.49,0.601,0.677,0.87,0.572
T016,South Elementary,4,0.77,0.83,1,1,0.76,0.42,0.598,0.641,0.867,0.569
T068,East Middle,3,0.71,0.78,1,0,0.72,0.36,0.599,0.638,0.846,0.572
T052,East Middle,1,0.71,0.78,1,0,0.88,0.76,0.572,0.684,0.88,0.606
T045,South Elementary,3,0.77,0.83,1,1,0.75,0.47,0.589,0.668,0.868,0.561
T044,South Elementary,3,0.77,0.83,1,1,0.64,0.34,0.588,0.648,0.846,0.558
T028,South Elementary,2,0.77,0.83,1,1,0.8,0.74,0.56,0.675,0.877,0.595
T021,Riverside Elementary,2,0.63,0.72,1,1,0.67,0.45,0.578,0.684,0.826,0.546
T080,Lakeside K8,2,0.6,0.7,1,0,0.76,0.68,0.562,0.647,0.833,0.603
T073,South Elementary,4,0.77,0.83,1,0,0.63,0.39,0.579,0.638,0.843,0.557
T057,South Elementary,1,0.77,0.83,1,0,0.79,0.79,0.552,0.629,0.871,0.648
T020,Lakeside K8,1,0.6,0.7,1,1,0.56,0.32,0.576,0.68,0.801,0.539
T072,South Elementary,4,0.77,0.83,1,0,0.52,0.26,0.577,0.617,0.821,0.554
T004,Lakeside K8,2,0.6,0.7,1,1,0.72,0.72,0.549,0.598,0.821,0.644
T056,Hilltop Middle,1,0.56,0.66,1,0,0.68,0.66,0.55,0.668,0.811,0.586
T049,East Middle,3,0.71,0.78,1,0,0.55,0.37,0.567,0.658,0.818,0.541
T033,East Middle,1,0.71,0.78,1,1,0.71,0.77,0.54,0.631,0.844,0.635
T048,East Middle,4,0.71,0.78,1,1,0.44,0.24,0.566,0.619,0.794,0.541
T032,East Middle,1,0.71,0.78,1,1,0.6,0.64,0.538,0.611,0.822,0.632
T025,Lakeside K8,1,0.6,0.7,1,1,0.47,0.35,0.556,0.622,0.779,0.582
T077,Hilltop Middle,1,0.56,0.66,1,0,0.43,0.29,0.557,0.673,0.766,0.528
T009,Riverside Elementary,1,0.63,0.72,1,1,0.63,0.75,0.528,0.632,0.814,0.622
T061,East Middle,2,0.71,0.78,1,0,0.59,0.69,0.53,0.6,0.819,0.631
T024,Riverside Elementary,2,0.63,0.72,1,1,0.36,0.22,0.554,0.657,0.768,0.521
T008,Riverside Elementary,1,0.63,0.72,1,1,0.52,0.62,0.527,0.612,0.792,0.619
