mechanism,applicant_id,assigned_program,preference_rank,top_three_assignment,priority_alignment_index,affinity_index,training_value_index,shortage_pressure_index,location_fit,match_quality_index,worker_welfare_index,program_staffing_value_index,equilibrium_pressure_index,outside_option_index
deferred_acceptance,A001,Riverside Public,3,1,0.571,0.83,0.74,0.72,0,0.788,0.638,0.688,0.419,0.51
deferred_acceptance,A002,Westside Specialty,1,1,0.671,0.74,0.88,0.36,1,0.847,0.809,0.696,0.408,0.8
deferred_acceptance,A003,Westside Specialty,1,1,0.685,0.87,0.88,0.36,0,0.884,0.73,0.626,0.286,0.44
deferred_acceptance,A004,Metro General,3,1,0.526,0.44,0.82,0.33,1,0.691,0.674,0.6,0.41,0.73
deferred_acceptance,A005,Harbor Teaching,1,1,0.652,0.65,0.86,0.41,1,0.817,0.851,0.698,0.269,0.37
deferred_acceptance,A006,North County,1,1,0.611,0.83,0.7,0.68,1,0.83,0.823,0.649,0.419,0.66
deferred_acceptance,A007,Harbor Teaching,1,1,0.745,0.87,0.86,0.41,1,0.893,0.889,0.689,0.243,0.3
deferred_acceptance,A008,Metro General,2,1,0.538,0.72,0.82,0.33,1,0.786,0.794,0.641,0.339,0.59
deferred_acceptance,A009,Riverside Public,1,1,0.643,0.81,0.74,0.72,1,0.838,0.848,0.673,0.379,0.23
deferred_acceptance,A010,Westside Specialty,1,1,0.723,0.96,0.88,0.36,1,0.915,0.889,0.675,0.302,0.52
deferred_acceptance,A011,Prairie Regional,4,0,0.542,0.79,0.66,0.79,0,0.739,0.562,0.721,0.535,0.81
deferred_acceptance,A012,Prairie Regional,1,1,0.588,0.91,0.66,0.79,1,0.84,0.863,0.661,0.361,0.45
deferred_acceptance,A013,Central Research,1,1,0.671,0.89,0.9,0.29,1,0.89,0.849,0.646,0.357,0.74
deferred_acceptance,A014,Harbor Teaching,1,1,0.767,0.82,0.86,0.41,1,0.884,0.885,0.733,0.258,0.38
deferred_acceptance,A015,North County,1,1,0.553,0.73,0.7,0.68,1,0.792,0.811,0.632,0.408,0.67
deferred_acceptance,A016,Westside Specialty,1,1,0.708,0.92,0.88,0.36,1,0.902,0.877,0.67,0.323,0.31
deferred_acceptance,A017,North County,1,1,0.716,0.89,0.7,0.68,0,0.867,0.735,0.754,0.381,0.6
deferred_acceptance,A018,North County,1,1,0.696,0.97,0.7,0.68,1,0.883,0.873,0.675,0.36,0.24
deferred_acceptance,A019,Metro General,1,1,0.568,0.67,0.82,0.33,1,0.799,0.833,0.613,0.285,0.53
deferred_acceptance,A020,Metro General,1,1,0.682,0.74,0.82,0.33,1,0.84,0.814,0.684,0.38,0.82
deferred_acceptance,A021,Central Research,1,1,0.759,0.79,0.9,0.29,0,0.881,0.725,0.636,0.25,0.46
deferred_acceptance,A022,Prairie Regional,7,0,0.452,0.47,0.66,0.79,0,0.578,0.391,0.657,0.549,0.75
deferred_acceptance,A023,Metro General,2,1,0.58,0.95,0.82,0.33,1,0.854,0.832,0.653,0.35,0.39
deferred_acceptance,A024,Valley Service,1,1,0.624,0.75,0.62,0.84,1,0.799,0.814,0.677,0.429,0.68
deferred_acceptance,A025,Westside Specialty,1,1,0.675,0.45,0.88,0.36,1,0.773,0.794,0.66,0.312,0.32
deferred_acceptance,A026,Prairie Regional,1,1,0.663,0.95,0.66,0.79,0,0.865,0.753,0.757,0.393,0.61
deferred_acceptance,A027,Riverside Public,1,1,0.555,0.97,0.74,0.72,1,0.862,0.88,0.647,0.357,0.25
deferred_acceptance,A028,Harbor Teaching,2,1,0.659,0.72,0.86,0.41,1,0.817,0.815,0.663,0.307,0.54
deferred_acceptance,A029,Westside Specialty,1,1,0.785,0.97,0.88,0.36,1,0.93,0.872,0.73,0.376,0.83
deferred_acceptance,A030,Valley Service,2,1,0.542,0.77,0.62,0.84,1,0.768,0.766,0.653,0.467,0.47
deferred_acceptance,A031,Central Research,1,1,0.662,0.87,0.9,0.29,1,0.883,0.86,0.644,0.335,0.76
deferred_acceptance,A032,Central Research,1,1,0.779,0.96,0.9,0.29,1,0.929,0.884,0.716,0.314,0.4
deferred_acceptance,A033,Prairie Regional,1,1,0.53,0.97,0.66,0.79,1,0.844,0.864,0.644,0.408,0.69
deferred_acceptance,A034,Metro General,1,1,0.61,0.9,0.82,0.33,1,0.867,0.87,0.626,0.295,0.33
deferred_acceptance,A035,Metro General,1,1,0.654,0.97,0.82,0.33,1,0.894,0.896,0.676,0.29,0.62
deferred_acceptance,A036,North County,1,1,0.727,0.77,0.7,0.68,1,0.838,0.84,0.684,0.338,0.26
deferred_acceptance,A037,Harbor Teaching,1,1,0.577,0.89,0.86,0.41,1,0.864,0.847,0.639,0.38,0.55
deferred_acceptance,A038,North County,2,1,0.655,0.93,0.7,0.68,0,0.845,0.689,0.736,0.446,0.84
deferred_acceptance,A039,Prairie Regional,1,1,0.67,0.87,0.66,0.79,1,0.846,0.831,0.685,0.429,0.48
deferred_acceptance,A040,Central Research,1,1,0.754,0.86,0.9,0.29,1,0.898,0.865,0.671,0.324,0.77
deferred_acceptance,A041,Central Research,1,1,0.635,0.95,0.9,0.29,1,0.898,0.886,0.672,0.303,0.41
deferred_acceptance,A042,Riverside Public,1,1,0.648,0.83,0.74,0.72,1,0.844,0.854,0.675,0.384,0.7
deferred_acceptance,A043,Harbor Teaching,1,1,0.782,0.73,0.86,0.41,1,0.864,0.849,0.7,0.3,0.34
deferred_acceptance,A044,Prairie Regional,5,0,0.527,0.65,0.66,0.79,0,0.68,0.501,0.716,0.54,0.63
deferred_acceptance,A045,Prairie Regional,1,1,0.574,0.77,0.66,0.79,1,0.801,0.84,0.657,0.35,0.27
deferred_acceptance,A046,Metro General,1,1,0.684,0.92,0.82,0.33,1,0.887,0.85,0.648,0.353,0.56
deferred_acceptance,A047,Westside Specialty,1,1,0.763,0.85,0.88,0.36,1,0.894,0.866,0.723,0.354,0.85
deferred_acceptance,A048,North County,1,1,0.577,0.91,0.7,0.68,1,0.844,0.845,0.639,0.397,0.49
deferred_acceptance,A049,Valley Service,2,1,0.589,0.97,0.62,0.84,0,0.829,0.699,0.704,0.441,0.78
deferred_acceptance,A050,Central Research,1,1,0.657,0.94,0.9,0.29,1,0.9,0.888,0.679,0.292,0.42
deferred_acceptance,A051,Riverside Public,1,1,0.758,0.91,0.74,0.72,1,0.887,0.818,0.708,0.474,0.71
deferred_acceptance,A052,Harbor Teaching,1,1,0.591,0.9,0.86,0.41,1,0.87,0.883,0.643,0.289,0.35
deferred_acceptance,A053,Westside Specialty,1,1,0.678,0.81,0.88,0.36,1,0.867,0.837,0.698,0.375,0.64
deferred_acceptance,A054,Valley Service,1,1,0.676,0.85,0.62,0.84,1,0.835,0.852,0.693,0.349,0.28
deferred_acceptance,A055,Riverside Public,6,0,0.467,0.49,0.74,0.72,0,0.619,0.442,0.657,0.506,0.57
deferred_acceptance,A056,Metro General,1,1,0.566,0.8,0.82,0.33,1,0.832,0.856,0.649,0.337,0.86
deferred_acceptance,A057,North County,1,1,0.666,0.81,0.7,0.68,1,0.836,0.832,0.666,0.386,0.5
deferred_acceptance,A058,Metro General,1,1,0.759,0.94,0.82,0.33,1,0.907,0.824,0.67,0.411,0.79
deferred_acceptance,A059,Central Research,1,1,0.627,0.93,0.9,0.29,1,0.891,0.889,0.67,0.281,0.43
deferred_acceptance,A060,Prairie Regional,1,1,0.612,0.93,0.66,0.79,1,0.85,0.82,0.668,0.477,0.72
deferred_acceptance,A061,Metro General,1,1,0.628,0.33,0.82,0.33,1,0.723,0.776,0.631,0.263,0.36
deferred_acceptance,A062,North County,5,0,0.491,0.39,0.7,0.68,0,0.612,0.464,0.687,0.497,0.65
deferred_acceptance,A063,Riverside Public,1,1,0.539,0.47,0.74,0.72,1,0.728,0.799,0.642,0.314,0.29
deferred_acceptance,A064,Westside Specialty,1,1,0.688,0.6,0.88,0.36,1,0.814,0.81,0.664,0.338,0.58
deferred_acceptance,A065,Westside Specialty,1,1,0.701,0.73,0.88,0.36,1,0.851,0.856,0.705,0.316,0.22
deferred_acceptance,A066,Valley Service,1,1,0.511,0.89,0.62,0.84,1,0.813,0.844,0.643,0.407,0.51
deferred_acceptance,A067,Harbor Teaching,1,1,0.606,0.91,0.86,0.41,1,0.875,0.833,0.648,0.417,0.8
deferred_acceptance,A068,Central Research,1,1,0.718,0.92,0.9,0.29,1,0.907,0.891,0.697,0.27,0.44
deferred_acceptance,A069,North County,1,1,0.752,0.95,0.7,0.68,1,0.889,0.833,0.691,0.444,0.73
deferred_acceptance,A070,Valley Service,5,0,0.484,0.63,0.62,0.84,0,0.66,0.528,0.672,0.422,0.37
deferred_acceptance,A071,Harbor Teaching,2,1,0.61,0.53,0.86,0.41,1,0.757,0.759,0.686,0.381,0.66
deferred_acceptance,A072,Valley Service,1,1,0.665,0.91,0.62,0.84,1,0.849,0.868,0.689,0.327,0.3
deferred_acceptance,A073,Prairie Regional,4,0,0.553,0.85,0.66,0.79,0,0.757,0.59,0.687,0.464,0.59
deferred_acceptance,A074,Harbor Teaching,1,1,0.628,0.86,0.86,0.41,1,0.867,0.881,0.691,0.315,0.23
deferred_acceptance,A075,Riverside Public,1,1,0.654,0.85,0.74,0.72,1,0.85,0.853,0.677,0.372,0.52
deferred_acceptance,A076,Central Research,1,1,0.693,0.82,0.9,0.29,1,0.876,0.824,0.653,0.382,0.81
deferred_acceptance,A077,Valley Service,4,0,0.538,0.79,0.62,0.84,0,0.732,0.609,0.725,0.421,0.45
deferred_acceptance,A078,Valley Service,1,1,0.583,0.93,0.62,0.84,1,0.838,0.829,0.665,0.465,0.74
deferred_acceptance,A079,Westside Specialty,1,1,0.738,0.91,0.88,0.36,1,0.905,0.895,0.679,0.247,0.38
deferred_acceptance,A080,Metro General,1,1,0.785,0.84,0.82,0.33,1,0.887,0.851,0.715,0.337,0.67
deferred_acceptance,A081,Riverside Public,2,1,0.522,0.63,0.74,0.72,1,0.747,0.768,0.637,0.41,0.31
deferred_acceptance,A082,Harbor Teaching,1,1,0.62,0.92,0.86,0.41,1,0.881,0.878,0.652,0.326,0.6
deferred_acceptance,A083,Central Research,1,1,0.696,0.63,0.9,0.29,1,0.827,0.839,0.691,0.281,0.24
deferred_acceptance,A084,Riverside Public,1,1,0.528,0.93,0.74,0.72,1,0.846,0.873,0.639,0.361,0.53
early_offers,A001,Valley Service,4,0,0.549,0.81,0.62,0.84,0,0.74,0.584,0.691,0.46,0.51
early_offers,A002,Westside Specialty,1,1,0.671,0.74,0.88,0.36,1,0.847,0.809,0.696,0.408,0.8
early_offers,A003,Westside Specialty,1,1,0.685,0.87,0.88,0.36,0,0.884,0.73,0.626,0.286,0.44
early_offers,A004,Prairie Regional,4,0,0.588,0.77,0.66,0.79,0,0.743,0.551,0.698,0.519,0.73
early_offers,A005,Harbor Teaching,1,1,0.652,0.65,0.86,0.41,1,0.817,0.851,0.698,0.269,0.37
early_offers,A006,North County,1,1,0.611,0.83,0.7,0.68,1,0.83,0.823,0.649,0.419,0.66
early_offers,A007,Harbor Teaching,1,1,0.745,0.87,0.86,0.41,1,0.893,0.889,0.689,0.243,0.3
early_offers,A008,Valley Service,3,1,0.604,0.97,0.62,0.84,0,0.812,0.664,0.745,0.458,0.59
early_offers,A009,Riverside Public,1,1,0.643,0.81,0.74,0.72,1,0.838,0.848,0.673,0.379,0.23
early_offers,A010,Westside Specialty,1,1,0.723,0.96,0.88,0.36,1,0.915,0.889,0.675,0.302,0.52
early_offers,A011,Metro General,1,1,0.505,0.93,0.82,0.33,1,0.854,0.841,0.631,0.391,0.81
early_offers,A012,Prairie Regional,1,1,0.588,0.91,0.66,0.79,1,0.84,0.863,0.661,0.361,0.45
early_offers,A013,Central Research,1,1,0.671,0.89,0.9,0.29,1,0.89,0.849,0.646,0.357,0.74
early_offers,A014,Westside Specialty,2,1,0.735,0.66,0.88,0.36,1,0.819,0.816,0.715,0.266,0.38
early_offers,A015,North County,1,1,0.553,0.73,0.7,0.68,1,0.792,0.811,0.632,0.408,0.67
early_offers,A016,North County,3,1,0.678,0.81,0.7,0.68,0,0.798,0.627,0.706,0.421,0.31
early_offers,A017,Metro General,2,1,0.611,0.53,0.82,0.33,1,0.751,0.765,0.663,0.329,0.6
early_offers,A018,Riverside Public,2,1,0.752,0.89,0.74,0.72,1,0.86,0.824,0.706,0.385,0.24
early_offers,A019,Metro General,1,1,0.568,0.67,0.82,0.33,1,0.799,0.833,0.613,0.285,0.53
early_offers,A020,Metro General,1,1,0.682,0.74,0.82,0.33,1,0.84,0.814,0.684,0.38,0.82
early_offers,A021,Central Research,1,1,0.759,0.79,0.9,0.29,0,0.881,0.725,0.636,0.25,0.46
early_offers,A022,Valley Service,8,0,0.443,0.47,0.62,0.84,0,0.55,0.348,0.66,0.576,0.75
early_offers,A023,Prairie Regional,6,0,0.585,0.59,0.66,0.79,0,0.656,0.474,0.734,0.51,0.39
early_offers,A024,Riverside Public,3,1,0.642,0.67,0.74,0.72,1,0.761,0.732,0.673,0.439,0.68
early_offers,A025,Westside Specialty,1,1,0.675,0.45,0.88,0.36,1,0.773,0.794,0.66,0.312,0.32
early_offers,A026,Riverside Public,3,1,0.598,0.87,0.74,0.72,0,0.804,0.664,0.733,0.413,0.61
early_offers,A027,Riverside Public,1,1,0.555,0.97,0.74,0.72,1,0.862,0.88,0.647,0.357,0.25
early_offers,A028,Westside Specialty,1,1,0.661,0.84,0.88,0.36,1,0.871,0.877,0.656,0.28,0.54
early_offers,A029,Westside Specialty,1,1,0.785,0.97,0.88,0.36,1,0.93,0.872,0.73,0.376,0.83
early_offers,A030,Prairie Regional,4,0,0.536,0.61,0.66,0.79,1,0.691,0.661,0.645,0.492,0.47
early_offers,A031,Central Research,1,1,0.662,0.87,0.9,0.29,1,0.883,0.86,0.644,0.335,0.76
early_offers,A032,Central Research,1,1,0.779,0.96,0.9,0.29,1,0.929,0.884,0.716,0.314,0.4
early_offers,A033,Prairie Regional,1,1,0.53,0.97,0.66,0.79,1,0.844,0.864,0.644,0.408,0.69
early_offers,A034,Metro General,1,1,0.61,0.9,0.82,0.33,1,0.867,0.87,0.626,0.295,0.33
early_offers,A035,Metro General,1,1,0.654,0.97,0.82,0.33,1,0.894,0.896,0.676,0.29,0.62
