applicant_id,ability_index,service_orientation_index,outside_option_index,risk_exposure_index,first_choice,second_choice,third_choice
A001,0.49,0.47,0.51,0.49,Central Research,Westside Specialty,Riverside Public
A002,0.66,0.7,0.8,0.8,Westside Specialty,Central Research,Riverside Public
A003,0.83,0.24,0.44,0.39,Westside Specialty,Prairie Regional,Central Research
A004,0.38,0.47,0.73,0.7,Central Research,Harbor Teaching,Metro General
A005,0.55,0.7,0.37,0.29,Harbor Teaching,Prairie Regional,Metro General
A006,0.72,0.24,0.66,0.6,North County,Valley Service,Harbor Teaching
A007,0.89,0.47,0.3,0.19,Harbor Teaching,Metro General,Westside Specialty
A008,0.44,0.7,0.59,0.5,Westside Specialty,Metro General,Valley Service
A009,0.61,0.24,0.23,0.81,Riverside Public,Westside Specialty,Metro General
A010,0.78,0.47,0.52,0.4,Westside Specialty,Metro General,Central Research
A011,0.33,0.7,0.81,0.71,Metro General,Central Research,Harbor Teaching
A012,0.5,0.24,0.45,0.3,Prairie Regional,Valley Service,Central Research
A013,0.67,0.47,0.74,0.61,Central Research,Harbor Teaching,Westside Specialty
A014,0.84,0.7,0.38,0.2,Harbor Teaching,Westside Specialty,North County
A015,0.39,0.24,0.67,0.51,North County,Harbor Teaching,Riverside Public
A016,0.56,0.47,0.31,0.82,Westside Specialty,Metro General,North County
A017,0.73,0.7,0.6,0.41,North County,Metro General,Riverside Public
A018,0.9,0.24,0.24,0.72,North County,Riverside Public,Prairie Regional
A019,0.45,0.47,0.53,0.31,Metro General,Central Research,Harbor Teaching
A020,0.62,0.7,0.82,0.62,Metro General,Central Research,Harbor Teaching
A021,0.79,0.24,0.46,0.21,Central Research,Metro General,Harbor Teaching
A022,0.34,0.47,0.75,0.52,Central Research,Westside Specialty,Harbor Teaching
A023,0.51,0.7,0.39,0.83,Central Research,Metro General,Westside Specialty
A024,0.68,0.24,0.68,0.42,Valley Service,Prairie Regional,Riverside Public
A025,0.85,0.47,0.32,0.73,Westside Specialty,Valley Service,Prairie Regional
A026,0.4,0.7,0.61,0.32,Prairie Regional,Westside Specialty,Riverside Public
A027,0.57,0.24,0.25,0.63,Riverside Public,North County,Westside Specialty
A028,0.74,0.47,0.54,0.22,Westside Specialty,Harbor Teaching,Central Research
A029,0.91,0.7,0.83,0.53,Westside Specialty,Harbor Teaching,Central Research
A030,0.46,0.24,0.47,0.84,Harbor Teaching,Valley Service,Central Research
A031,0.63,0.47,0.76,0.43,Central Research,Metro General,Valley Service
A032,0.8,0.7,0.4,0.74,Central Research,Metro General,Westside Specialty
A033,0.35,0.24,0.69,0.33,Prairie Regional,Riverside Public,Metro General
A034,0.52,0.47,0.33,0.64,Metro General,Westside Specialty,Harbor Teaching
A035,0.69,0.7,0.62,0.23,Metro General,Westside Specialty,Harbor Teaching
A036,0.86,0.24,0.26,0.54,North County,Valley Service,Harbor Teaching
A037,0.41,0.47,0.55,0.85,Harbor Teaching,Central Research,Valley Service
A038,0.58,0.7,0.84,0.44,Central Research,North County,Westside Specialty
A039,0.75,0.24,0.48,0.75,Prairie Regional,Central Research,Riverside Public
A040,0.92,0.47,0.77,0.34,Central Research,Westside Specialty,Metro General
A041,0.47,0.7,0.41,0.65,Central Research,Westside Specialty,Metro General
A042,0.64,0.24,0.7,0.24,Riverside Public,Valley Service,North County
A043,0.81,0.47,0.34,0.55,Harbor Teaching,Metro General,Riverside Public
A044,0.36,0.7,0.63,0.86,Harbor Teaching,Metro General,Westside Specialty
A045,0.53,0.24,0.27,0.45,Prairie Regional,Harbor Teaching,North County
A046,0.7,0.47,0.56,0.76,Metro General,Westside Specialty,Central Research
A047,0.87,0.7,0.85,0.35,Westside Specialty,Central Research,North County
A048,0.42,0.24,0.49,0.66,North County,Valley Service,Riverside Public
A049,0.59,0.47,0.78,0.25,Central Research,Valley Service,Harbor Teaching
A050,0.76,0.7,0.42,0.56,Central Research,Harbor Teaching,Riverside Public
A051,0.93,0.24,0.71,0.87,Riverside Public,Prairie Regional,Harbor Teaching
A052,0.48,0.47,0.35,0.46,Harbor Teaching,Westside Specialty,Metro General
A053,0.65,0.7,0.64,0.77,Westside Specialty,Metro General,Prairie Regional
A054,0.82,0.24,0.28,0.36,Valley Service,Westside Specialty,North County
A055,0.37,0.47,0.57,0.67,Metro General,Central Research,Harbor Teaching
A056,0.54,0.7,0.86,0.26,Metro General,Central Research,Harbor Teaching
A057,0.71,0.24,0.5,0.57,North County,Riverside Public,Metro General
A058,0.88,0.47,0.79,0.88,Metro General,Central Research,Harbor Teaching
A059,0.43,0.7,0.43,0.47,Central Research,Harbor Teaching,Westside Specialty
A060,0.6,0.24,0.72,0.78,Prairie Regional,Valley Service,Harbor Teaching
A061,0.77,0.47,0.36,0.37,Metro General,Central Research,Harbor Teaching
A062,0.32,0.7,0.65,0.68,Central Research,Metro General,Harbor Teaching
A063,0.49,0.24,0.29,0.27,Riverside Public,North County,Prairie Regional
A064,0.66,0.47,0.58,0.58,Westside Specialty,Central Research,Harbor Teaching
A065,0.83,0.7,0.22,0.89,Westside Specialty,Harbor Teaching,Central Research
A066,0.38,0.24,0.51,0.48,Valley Service,Prairie Regional,Riverside Public
A067,0.55,0.47,0.8,0.79,Harbor Teaching,Central Research,Metro General
A068,0.72,0.7,0.44,0.38,Central Research,Metro General,Riverside Public
A069,0.89,0.24,0.73,0.69,North County,Metro General,Valley Service
A070,0.44,0.47,0.37,0.28,Metro General,Westside Specialty,Harbor Teaching
A071,0.61,0.7,0.66,0.59,Westside Specialty,Harbor Teaching,Central Research
A072,0.78,0.24,0.3,0.18,Valley Service,Prairie Regional,Westside Specialty
A073,0.33,0.47,0.59,0.49,Westside Specialty,Harbor Teaching,Central Research
A074,0.5,0.7,0.23,0.8,Harbor Teaching,Central Research,Prairie Regional
A075,0.67,0.24,0.52,0.39,Riverside Public,Harbor Teaching,North County
A076,0.84,0.47,0.81,0.7,Central Research,Riverside Public,Metro General
A077,0.39,0.7,0.45,0.29,Central Research,Westside Specialty,Metro General
A078,0.56,0.24,0.74,0.6,Valley Service,North County,Prairie Regional
A079,0.73,0.47,0.38,0.19,Westside Specialty,Metro General,Harbor Teaching
A080,0.9,0.7,0.67,0.5,Metro General,Harbor Teaching,Prairie Regional
A081,0.45,0.24,0.31,0.81,Metro General,Riverside Public,Harbor Teaching
A082,0.62,0.47,0.6,0.4,Harbor Teaching,Central Research,Westside Specialty
